GeneID	GSM2808511	GSM2808512	GSM2808513	GSM2808514	GSM2808515	GSM2808516	GSM2808517	GSM2808518	GSM2808519	GSM2808520	GSM2808521	GSM2808522	GSM2808523	GSM2808524	GSM2808525	GSM2808526	GSM2808527	GSM2808528	GSM2808529	GSM2808530
100287102	19	31	4	14	16	13	16	15	11	8	5	10	6	13	13	20	31	11	10	8
653635	566	541	294	559	651	536	638	687	556	356	457	447	727	654	616	644	516	393	455	518
102466751	23	18	19	34	32	28	33	32	18	18	12	17	22	20	12	21	14	8	17	15
107985730	1	1	1	1	3	1	0	1	2	0	0	0	1	0	1	1	3	1	2	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
645520	5	6	3	4	8	5	7	3	2	1	0	2	0	4	5	2	9	4	1	3
79501	1	2	1	3	1	1	1	1	1	0	0	1	0	1	1	1	5	5	1	0
100996442	95	90	36	61	220	89	143	48	45	41	84	49	91	99	70	88	84	60	83	58
729737	92	47	30	63	301	55	273	29	31	23	62	39	49	103	70	105	69	33	50	33
102725121	24	29	3	17	17	20	22	19	5	7	5	14	8	25	6	10	17	7	19	7
102723897	561	525	357	574	550	476	740	715	539	393	609	472	870	718	543	540	552	450	596	622
102465909	10	10	8	10	12	9	13	15	10	11	9	5	11	9	6	8	10	7	8	8
107985721	2	7	1	6	7	6	6	3	3	2	2	1	1	6	1	4	10	3	3	4
112268260	29	38	10	21	22	19	25	17	20	14	10	14	10	24	23	22	30	14	16	17
729759	3	5	1	4	1	1	2	1	1	1	1	2	1	3	1	2	3	2	2	0
100132287	88	85	32	62	176	53	134	39	55	33	106	59	70	117	76	138	74	39	71	52
105378947	7	18	4	7	5	5	9	0	2	2	0	2	4	6	2	9	12	4	4	2
101928626	3	2	1	5	4	1	3	1	0	1	0	0	0	0	0	3	3	0	2	0
113219467	827	1887	350	2851	1966	1690	992	2164	1795	2165	894	1080	1745	1913	854	453	570	1369	2035	1021
81399	20	30	5	17	18	9	18	13	15	13	11	11	12	35	9	22	23	12	9	10
100133331	91	101	31	62	204	68	123	60	63	42	128	52	72	118	76	142	92	40	73	60
107984841	35	36	15	29	94	42	53	36	31	29	57	30	59	58	31	162	46	19	19	22
107984847	28	49	18	36	121	55	68	34	27	29	66	49	48	84	33	157	42	20	39	35
107984849	8	14	5	10	37	16	23	10	7	5	18	9	17	20	15	56	10	3	9	9
100288069	111	116	41	67	206	118	161	67	109	77	228	114	156	159	119	300	98	50	69	70
105378580	126	269	46	147	188	184	139	254	102	149	299	254	114	344	142	629	141	169	141	205
400728	40	78	16	53	84	72	55	88	42	57	70	48	26	99	37	165	52	74	58	53
79854	63	49	19	55	65	59	70	81	63	63	127	52	49	79	102	129	62	60	57	38
643837	409	401	124	242	365	337	347	404	273	233	558	432	384	514	549	410	358	309	280	315
107984850	4	14	2	4	9	2	3	0	11	0	11	1	5	5	4	4	8	4	5	1
284593	4	10	3	4	11	6	2	1	2	1	5	3	7	7	4	2	5	0	2	2
284600	12	14	7	10	20	8	15	12	11	9	8	8	29	7	105	124	15	5	12	10
100130417	53	38	19	42	46	79	2	56	37	42	22	30	67	51	22	30	58	36	52	31
107985728	129	79	51	82	98	104	16	61	54	71	33	53	106	69	29	50	76	54	75	55
148398	381	243	196	213	236	286	267	230	422	186	467	353	651	270	403	173	412	188	389	256
26155	1434	1020	1233	958	1483	1615	3213	1274	3194	911	5363	1763	4507	1189	4396	868	2379	935	2224	1209
339451	283	165	134	184	465	118	314	148	294	119	269	104	389	122	572	158	203	122	311	135
84069	96	57	74	27	126	17	196	41	85	23	112	36	107	40	220	38	63	11	127	31
84808	20	21	16	14	25	7	50	6	12	11	24	7	16	14	38	7	23	9	27	10
57801	858	392	268	221	283	311	428	329	409	150	277	337	131	286	936	68	289	250	593	488
9636	1743	996	635	1218	1732	574	1285	1018	1431	393	499	229	468	342	2831	407	916	438	2625	1332
375790	2364	1748	1884	1240	3322	2472	5597	1616	3537	1328	10038	1621	4510	2024	6503	880	3616	1783	5248	2032
100288175	14	10	8	9	16	9	39	7	10	15	58	13	11	6	53	9	19	14	21	11
112267874	15	26	20	19	30	13	21	18	14	15	138	31	18	16	84	28	33	26	28	28
105378948	30	33	20	43	65	46	59	46	45	48	178	34	48	25	145	51	55	65	97	58
401934	6	43	44	72	35	40	54	47	23	41	343	76	113	63	153	4	71	44	89	56
54991	240	280	173	268	359	308	395	237	437	238	571	235	575	274	631	170	274	171	398	247
254099	23	12	8	18	72	29	47	25	36	24	72	20	23	17	25	13	26	12	13	20
406984	43	24	38	38	73	19	52	38	77	28	162	48	43	21	55	22	52	34	32	40
406983	41	28	16	36	65	14	35	44	85	39	121	22	32	18	46	11	36	24	42	37
554210	48	24	26	23	51	29	30	42	75	31	125	43	16	35	61	23	32	26	36	19
100506376	16	27	8	5	37	25	18	4	17	7	29	13	17	13	25	11	53	7	28	8
254173	25	36	9	14	50	45	38	16	35	11	35	44	42	19	66	12	72	16	76	16
8784	171	130	125	285	158	148	109	107	87	152	135	157	136	106	58	54	112	60	173	152
7293	397	117	149	231	197	116	343	108	139	110	157	109	209	49	143	159	170	56	197	114
51150	2618	2512	1654	2635	2456	3195	3266	3014	3258	2387	6464	2960	3427	2775	4669	1843	3256	2737	3804	2886
126792	678	410	432	324	494	352	874	396	780	241	1496	475	1419	331	663	302	671	306	857	369
388581	49	135	103	166	65	117	27	180	80	205	297	65	89	93	65	109	134	227	260	134
118424	844	822	470	678	946	924	1235	835	1100	664	1740	889	1387	814	1115	659	845	661	897	791
101928895	50	71	23	24	57	21	19	49	32	22	33	25	35	48	24	65	38	33	40	45
6339	59	92	15	44	101	53	34	62	47	42	49	37	37	78	41	109	52	41	66	95
116983	1084	1186	679	921	1223	1034	1001	1113	1381	774	2529	893	1384	1093	1770	947	1026	742	1098	954
102465434	0	2	2	0	2	1	1	0	1	0	2	0	0	0	2	1	0	0	1	0
109623456	10	7	5	9	15	8	5	11	5	7	15	4	12	7	9	7	8	9	3	8
126789	264	227	203	214	274	264	478	260	506	169	1042	242	709	207	769	181	324	179	354	237
54973	1419	1451	844	1428	1498	1551	1980	1588	1916	1154	4134	1468	2277	1511	2124	1293	1651	1194	1769	1419
102465435	4	6	2	5	10	6	7	7	12	7	13	10	8	5	12	7	7	4	6	5
80772	288	558	301	697	443	637	442	748	551	635	1561	690	911	832	691	545	587	706	637	714
83756	114	168	164	200	155	179	128	223	259	149	644	108	127	96	124	280	213	98	219	171
1855	1530	1570	2150	1639	1520	1544	2301	2061	3046	1257	5818	1901	3961	1503	4242	957	2641	1710	2377	1824
102466740	5	8	10	11	5	4	3	7	13	2	6	1	4	3	7	4	4	2	5	4
54587	2808	1325	677	637	988	584	2133	1241	1085	583	961	631	801	882	1131	613	1825	806	1075	1171
54998	1202	1457	1415	1683	1173	1805	2062	1883	2986	1401	4005	1641	2876	1318	2268	764	1655	1423	1855	1692
81669	4018	3065	1574	2810	3565	2920	4473	3345	4383	2443	8132	2683	3688	3530	5698	4537	3479	2337	4257	3020
148413	589	491	363	480	538	467	699	651	767	440	1288	448	815	406	411	460	604	391	486	460
55052	1236	1012	872	1086	774	1178	1504	1229	1880	843	2847	1232	1802	914	1354	732	1064	611	776	910
107984868	6	6	3	10	13	4	12	23	2	11	6	18	3	22	3	14	20	12	4	8
441869	147	153	26	36	44	45	45	155	32	36	34	100	46	144	72	93	85	68	59	123
105378585	13	16	3	5	2	5	7	14	4	9	6	3	6	13	5	7	9	3	4	16
643965	4	5	1	1	0	0	2	3	1	3	1	2	0	5	1	2	9	0	5	5
102724312	51	54	20	16	33	19	131	53	12	13	26	27	112	48	18	23	22	20	27	46
107985729	31	40	24	19	46	19	176	53	21	14	22	31	115	46	29	12	22	13	24	41
64856	2443	1276	1355	866	1383	898	3565	1385	1271	657	6009	1101	6179	1709	2427	390	2006	1144	1683	1518
219293	32	36	50	44	43	42	122	38	50	33	122	62	254	31	65	26	163	20	83	54
83858	1214	857	770	756	1429	1147	1731	718	1833	522	2171	814	1774	584	2548	810	1301	459	1152	637
55210	745	545	630	491	1002	935	1759	525	1585	352	3282	851	1765	589	2034	402	1417	402	1594	637
339453	51	67	14	15	15	11	25	39	23	16	18	28	12	30	22	14	25	30	18	26
29101	1379	1134	1018	1273	1080	1378	2408	1359	2104	1022	3333	1799	2294	1389	2046	1075	1657	1013	1559	1215
643988	70	33	58	38	50	55	147	36	101	28	162	51	202	40	23	18	112	31	53	39
105378586	11	9	7	10	10	8	23	5	19	2	23	8	30	7	5	5	22	9	6	7
142678	1386	1248	840	1224	1230	1187	1600	1763	1971	1423	2285	1014	1330	1235	3350	1382	1443	1274	1716	1536
8510	141	129	67	78	101	59	166	91	88	71	171	118	75	131	176	112	146	92	158	110
984	1046	838	463	792	966	1021	1619	1216	1216	668	2505	1189	1129	1080	1785	1038	1042	692	1008	952
728661	1147	1434	720	1740	1550	1275	2424	2323	1872	1580	5126	2179	2684	2489	1470	3658	2148	1954	2641	1985
8511	87	73	34	40	62	41	99	40	37	30	64	39	24	56	85	40	61	43	75	65
728642	922	790	421	710	984	963	1201	883	788	389	1790	833	980	971	1066	902	745	597	724	676
