"",gene_symbol,GSM2440320,GSM2440321,GSM2440322,GSM2440323,GSM2440324,GSM2440325,GSM2440326,GSM2440327,GSM2440328,GSM2440329,GSM2440330,GSM2440331
ENSG00000000003,TSPAN6,281.7048,1408.4844,234.7313,264.1574,216.2649,66.0111,181.5001,226.7749,684.9617,122.1006,48.7578,60.0812
ENSG00000000005,TNMD,13.0787,133.2307,0,20.0738,5.007,1.0004,3.9919,3.994,0,0.9967,0,5.9518
ENSG00000000419,DPM1,258.6029,517.2566,161.6882,138.9957,311.4771,256.9805,158.884,217.8049,892.1677,172.8523,12.9487,24.8892
ENSG00000000457,SCYL3,236.581,278.6499,205.4362,274.5935,480.0531,236.8445,114.713,440.1842,410.8959,341.3777,544.4615,159.7437
ENSG00000000460,C1orf112,150.0828,180.8386,88.96,134.9976,240.7218,25.1793,75.3703,322.9452,320.116,143.4019,59.5444,60.8549
ENSG00000000938,FGR,301.6655,304.1631,138.6918,154.1204,194,122.7627,129.4737,128.6778,240.7442,55.5786,11.8756,70.0215
ENSG00000000971,CFH,400.4849,57.2222,17.6398,45.3384,125.6962,201.8391,28.8766,29.9905,47.1481,9.8991,9.9521,5.5038
ENSG00000001036,FUCA2,887.6386,1229.2419,517.8772,1076.5287,1248.2355,374.9046,536.7453,1769.4986,2186.6536,1173.6362,81.3869,197.5815
ENSG00000001084,GCLC,82.9914,272.6972,79.2014,115.266,378.0455,226.2426,109.4205,141.913,187.7918,88.2424,332.5351,37.4179
ENSG00000001167,NFYA,243.6777,352.651,97.0157,241.9752,329.8172,96.8899,87.5506,231.3129,152.5653,121.8613,34.5916,24.653
ENSG00000001460,STPG1,186.3814,105.5894,123.158,401.3648,545.1825,264.5993,220.0566,222.0105,431.9023,422.5347,164.4932,183.0265
ENSG00000001461,NIPAL3,567.8165,445.4147,512.3748,871.1436,832.7315,1197.1295,496.984,704.2677,2577.7987,900.7725,768.556,371.7591
ENSG00000001497,LAS1L,2687.1349,2972.9806,2558.3034,3182.7413,2812.7026,1940.2473,3004.1203,2166.7045,3755.2837,2065.6239,2742.4857,795.7737
ENSG00000001561,ENPP4,30.4947,37.2075,21.5295,17.1592,36.2888,18.1989,8.9516,27.9089,45.1864,26.7333,3.9516,2.9498
ENSG00000001617,SEMA3F,1039.0137,608.9854,511.1205,1276.618,703.7542,641.9089,3760.8039,4273.4207,3785.9975,4813.6412,1254.0301,2099.8762
ENSG00000001626,CFTR,2666.0181,1236.9233,3243.5737,5161.7051,868.6972,2.9461,4190.0759,4340.496,7788.2892,1251.6953,958.8174,687.3647
ENSG00000001629,ANKIB1,83.0813,168.7814,70.6922,104.4867,210.3885,110.9119,49.7439,51.4296,90.332,86.1638,38.9628,17.312
ENSG00000001630,CYP51A1,718.7001,842.4823,345.5228,482.0072,324.8893,119.2054,176.8878,806.6562,735.1163,779.6721,42.3327,102.8368
ENSG00000001631,KRIT1,191.2784,138.2176,154.1948,182.9118,321.7118,131.0334,178.0316,121.4491,262.6184,268.8234,80.4873,40.4631
ENSG00000002016,RAD52,123.7151,144.5345,93.3449,139.2986,406.1391,195.8971,151.3588,60.9463,184.7519,82.997,167.3094,52.7088
ENSG00000002330,BAD,2926.5375,1597.6551,648.1592,2444.7438,2276.5664,3048.0908,1448.2403,2121.0853,3461.1471,2333.7936,1919.0182,1683.32
ENSG00000002549,LAP3,358.7346,1017.3775,201.4081,69.3997,556.3712,1180.7884,170.478,443.0078,1393.7356,402.5856,10.8951,66.2648
ENSG00000002586,CD99,5857.2308,7418.3092,2529.0553,799.8632,6126.9883,10389.5927,4475.2816,3837.5331,6438.9129,4769.5497,1227.0269,1994.8114
ENSG00000002587,HS3ST1,154.5937,137.7368,103.9093,223.7739,281.12,47.7268,68.7321,214.1775,90.4901,305.9756,192.629,486.3172
ENSG00000002726,AOC1,6425.4383,5548.8916,2063.9317,5369.6155,2475.7647,25.1047,2143.7162,4682.7979,4831.7854,13568.9379,4855.1675,2548.1005
ENSG00000002745,WNT16,4.034,4.0048,2.9839,5.0145,5.0222,10.0529,5.9757,1.9949,4.0088,0,0.9939,0
ENSG00000002746,HECW1,5.6098,7.1209,9.1526,14.1789,116.0212,4.2727,4.0877,8.0439,4.0626,3.0064,34.2479,10.5591
ENSG00000002822,MAD1L1,789.2225,858.379,376.5335,1298.5646,1427.6505,698.7818,1001.9154,1401.3139,1768.3539,1215.33,885.7621,433.0075
ENSG00000002834,LASP1,2787.235,4812.5546,1860.5754,1475.7849,7125.5938,1374.3345,1362.0789,2412.3656,7434.7025,3472.7971,400.6797,450.6494
ENSG00000002919,SNX11,623.5545,596.6164,353.4992,663.0822,924.1828,797.1746,344.6166,664.3776,1006.1893,686.9257,147.9998,303.1665
ENSG00000002933,TMEM176A,16295.3434,9258.6841,3022.9114,6887.6273,2707.58,1313.9041,7094.7093,10798.2892,11406.9448,9129.5457,5775.0318,2773.0919
ENSG00000003056,M6PR,883.1912,1196.7267,1752.5419,1023.0117,2738.9451,1781.9942,729.6532,1706.6512,3673.0266,1835.1432,315.5085,403.9318
ENSG00000003096,KLHL13,25.3619,47.2268,2.9438,1.0073,2.3596,31.2651,0,0,9.0337,0,0,0
ENSG00000003137,CYP26B1,4.0635,30.1511,4.8926,6.0542,27.1855,84.8901,0,9.968,68.2719,32.6864,1.9764,0.9838
ENSG00000003147,ICA1,2464.0798,1919.159,1485.6995,4886.1657,3254.1299,129.3475,2601.3351,4041.6967,4117.962,5373.781,1456.5749,1087.428
ENSG00000003249,DBNDD1,1596.3493,332.3945,125.1322,593.0035,146.7577,117.6514,522.0068,1412.5605,1461.3543,1170.9206,150.5907,287.4429
ENSG00000003393,ALS2,63.6076,57.2143,43.7034,77.9858,272.1677,168.8127,59.4216,51.1752,214.3919,56.1954,33.7693,18.3154
ENSG00000003400,CASP10,454.0392,665.4125,230.5471,723.3363,900.2814,145.7589,319.0767,1608.1011,1405.9108,1148.7806,191.8135,900.0516
ENSG00000003402,CFLAR,1690.5041,1916.8618,924.1844,2561.7569,2083.1266,2651.1726,1461.3679,2976.6815,3341.9187,2125.2998,1477.8381,1588.3881
ENSG00000003436,TFPI,103.8095,114.9019,72.6598,131.8801,153.5629,78.4599,55.9867,76.7185,86.838,32.5391,99.8133,52.4356
ENSG00000003509,NDUFAF7,122.0322,151.4486,95.4664,137.2113,188.7194,198.5972,136.4269,129.2066,165.4703,102.952,22.5174,34.2116
ENSG00000003756,RBM5,3826.1665,3452.3639,2615.6647,3736.1988,2968.9371,4564.5887,4132.248,3890.913,5964.013,3539.3402,182.1125,807.3221
ENSG00000003987,MTMR7,5.1747,13.2236,1.9593,3.0125,12.1525,9.882,2.9846,4.0505,4.0609,6.9344,1.9766,1.9679
ENSG00000003989,SLC7A2,288.1094,45.2766,14.6509,28.2843,34.3043,266.2969,29.3489,65.7697,20.0902,115.7387,46.8409,3.9284
ENSG00000004059,ARF5,10326.4415,10033.5087,4118.8795,9510.3071,7601.2699,4258.3752,8467.7237,10349.5597,11557.7888,14692.0049,5799.2014,3444.4389
ENSG00000004139,SARM1,444.1721,409.7075,414.8265,889.3481,1047.8703,891.6565,598.5812,864.255,1465.3974,234.1986,575.3407,193.7065
ENSG00000004142,POLDIP2,2908.639,2994.4382,2423.9883,2657.8713,3889.3188,2884.6891,1973.375,3861.5081,8078.0722,4593.1884,829.8726,944.7712
ENSG00000004399,PLXND1,1953.2242,1079.8571,1172.6923,4173.3641,3429.8069,1472.4933,657.9207,1618.7742,3771.7729,1449.5662,1680.7218,2832.4461
ENSG00000004455,AK2,2857.101,2646.3007,2182.9415,2432.7703,3836.4921,2136.0908,2083.1585,5119.2897,13271.9339,4287.9004,474.0665,819.0445
ENSG00000004468,CD38,20.462,105.2444,4.9427,14.2617,22.2288,27.0896,40.2182,59.1667,18.0834,14.9018,23.0529,62.1085
ENSG00000004478,FKBP4,7254.2727,2680.6278,4646.8421,16496.5329,8743.8004,2715.0687,7160.7067,6157.3442,19271.8087,8245.8703,8649.6229,1936.7054
ENSG00000004487,KDM1A,2296.483,2413.2882,1555.8402,2358.3547,4110.8189,1769.023,2102.9334,4296.1513,6521.1537,2441.1835,521.1955,912.1465
ENSG00000004534,RBM6,5851.0295,4421.6934,7475.0969,13745.8653,3782.1667,5967.43,9655.7133,6285.6343,5785.7871,6044.5657,4504.2062,4290.8897
ENSG00000004660,CAMKK1,1426.4171,976.6511,784.8423,2508.698,1168.3579,731.1829,1429.9444,1860.6928,1011.006,1302.4153,913.9307,373.2644
ENSG00000004700,RECQL,7.745,30.4918,38.0284,19.5604,67.2498,80.3238,13.3667,12.1029,109.3892,36.7236,10.7206,7.8721
ENSG00000004766,VPS50,53.4101,83.7652,46.2291,63.9674,67.631,80.5148,45.3559,32.5341,64.5059,52.3665,25.7742,15.9955
ENSG00000004776,HSPB6,266.2754,17.0377,16.8445,301.7384,119.2655,10320.1515,54.9051,1090.1197,620.0753,16.9301,37.0767,9.9086
ENSG00000004777,ARHGAP33,506.3371,531.8138,186.5685,608.8519,556.0703,455.7808,2001.6775,515.402,922.0332,710.8875,242.4249,232.5631
ENSG00000004779,NDUFAB1,755.6933,1087.5188,415.3682,259.6746,871.4521,1033.4996,367.1964,918.2392,4045.8943,754.318,91.6968,153.023
ENSG00000004799,PDK4,42.6436,13.0673,5.8809,9.0786,10.0634,964.4176,5.971,7.9756,1.003,8.9583,0,0
ENSG00000004809,SLC22A16,12.0086,7.021,13.8322,2.9676,5.9713,1.0039,3.9875,21.9544,20.05,41.7713,0,0.9891
ENSG00000004838,ZMYND10,44.0866,29.6394,34.5851,80.3897,26.8727,26.9845,113.3074,58.9132,93.7478,83.987,53.3833,31.4335
ENSG00000004846,ABCB5,2.1103,2.015,0.981,7.2004,3.1172,3.0612,2.0004,5.506,1.0111,4.0592,15.7047,4.182
ENSG00000004848,ARX,4.0831,2.0455,4.9197,8.0406,5.0332,0,1.1817,2.0087,12.5442,21.1822,28.2923,10.36
