"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrezid"
"3624",1427.72313546506,5.26020176456463,0.322899513023815,2.58035488151247e-65,6.01454919331742e-61,"INHBA","3624"
"57214",1614.96914638673,3.12675417823545,0.195532452024882,1.59707277922926e-60,1.86130847055274e-56,"CEMIP","57214"
"1001",948.16981536613,5.22446210133837,0.345258278044887,5.30967560405889e-59,4.12544095516696e-55,"CDH3","1001"
"4316",318.149891134276,6.42092493361118,0.425671417562626,1.1213463161797e-56,6.53436532095816e-53,"MMP7","4316"
"1469",232.978440304933,5.94842437933609,0.409618793863816,4.70309993983452e-52,2.19249112995206e-48,"CST1","1469"
"1301",1104.28837761414,5.41899417299289,0.392963806544491,1.22923809907061e-50,4.77538514187282e-47,"COL11A1","1301"
"57761",796.578741408666,3.57899776788332,0.268845718856857,3.81679043226492e-44,1.27093668836661e-40,"TRIB3","57761"
"115908",582.738817917485,3.76598993554299,0.288146804370326,4.05716300658685e-43,1.18210515650666e-39,"CTHRC1","115908"
"10990",329.432909932276,-1.65089291028735,0.123648696766156,6.88236123525432e-42,1.78245508925048e-38,"LILRB5","10990"
"7472",166.633243681754,5.19401511932476,0.427565504888585,1.35188831831723e-39,3.15111648116562e-36,"WNT2","7472"
"4237",193.923502425637,2.7653094921838,0.230325683856989,2.42715043772006e-35,5.14313177752881e-32,"MFAP2","4237"
"11082",130.401649016239,5.34801085466628,0.455933543942586,7.71773682176832e-35,1.44565704378954e-31,"ESM1","11082"
"6422",526.433512307868,-3.85999832474753,0.338448674549502,8.06278328940065e-35,1.44565704378954e-31,"SFRP1","6422"
"4314",3136.08836676693,5.89775743347706,0.591734592535785,2.46903943139432e-33,4.11077429331215e-30,"MMP3","4314"
"3730",254.415726928154,2.6462779561218,0.230229827044373,6.23258350163317e-33,9.68501925597117e-30,"ANOS1","3730"
"7123",548.283654329352,-2.8757058454419,0.252741961315944,7.03106876449154e-33,1.02429488644708e-29,"CLEC3B","7123"
