"","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezid","symbol"
"ENSG00000062038.14",3119.0608129082,5.9586196892135,0.152656315325847,0,0,"1001","CDH3"
"ENSG00000167767.14",1340.6583213024,6.75719609022743,0.185353001658412,3.69647463283025e-292,4.46534135645894e-288,"144501","KRT80"
"ENSG00000175832.13",3518.47932968674,5.29166925026616,0.152122089688317,1.35764458215052e-268,1.09335643682522e-264,"2118","ETV4"
"ENSG00000164283.13",229.848812975259,5.72634037395216,0.181881876466693,2.21545396340162e-219,1.33813419389458e-215,"11082","ESM1"
"ENSG00000164379.7",2193.14452050855,6.21435166638707,0.197994901443192,1.11195894667702e-218,5.37298563034336e-215,"94234","FOXQ1"
"ENSG00000159263.16",330.738382623298,8.02920134935924,0.267147321176059,2.64548902534947e-199,1.06525024754072e-195,"6493","SIM2"
"ENSG00000163347.6",3152.42837983464,4.78311587058415,0.163732330237917,5.66217021477219e-189,1.95425760555566e-185,"9076","CLDN1"
"ENSG00000103888.17",4503.96926944403,5.19194422524034,0.181159005358196,4.26415691935949e-184,1.28777538964657e-180,"57214","CEMIP"
"ENSG00000120254.16",1644.94881099805,2.36749939631104,0.0835029954818465,6.64710587758879e-178,1.78437864447272e-174,"25902","MTHFD1L"
"ENSG00000129474.16",783.031203206833,2.97427065920266,0.105178763920084,3.09726442989317e-177,7.48299086262189e-174,"84962","AJUBA"
"ENSG00000105989.10",298.996587272647,5.43682516157438,0.199360687401556,4.04371457363404e-166,8.8814676453635e-163,"7472","WNT2"
"ENSG00000105464.3",1314.54276286447,4.83273645245554,0.179825237100136,2.18129549548096e-161,4.39167493090166e-158,"2906","GRIN2D"
"ENSG00000181577.16",1223.775054733,4.86281376786,0.184608660352646,4.70829086954242e-155,8.75017749293421e-152,"221416","C6orf223"
"ENSG00000142959.5",293.6620286514,-5.91173205355834,0.235927503110647,2.49324612256278e-138,4.30263045150833e-135,"266675","BEST4"
"ENSG00000169764.16",4009.69094991551,-2.1816008352438,0.0878978247037419,2.04244511896172e-136,3.28969827160768e-133,"7360","UGP2"
"ENSG00000136044.12",2249.9084367568,-1.96017641846852,0.0794170376778789,7.35272462901294e-135,1.11026141898095e-131,"55198","APPL2"
"ENSG00000178773.15",1034.4125841365,5.66176159625453,0.232785493707174,8.33564260422492e-133,1.18464191363573e-129,"27132","CPNE7"
"ENSG00000050344.9",2691.03944323139,2.6565986131182,0.109524842352943,3.34283960069083e-131,4.48683359737169e-128,"9603","NFE2L3"
"ENSG00000101255.11",2691.49835499863,3.81209462110289,0.1580262632904,7.11649235104379e-129,9.04918185269568e-126,"57761","TRIB3"
"ENSG00000214039.9",642.96828860714,8.960006885228,0.374307330251942,8.29296613387761e-129,1.00179030897242e-125,"100190940","LINC02418"
"ENSG00000172031.7",248.563358004982,4.52760657475701,0.189865378404974,2.92009944285399e-128,3.3595048828263e-125,"253152","EPHX4"
"ENSG00000215193.13",2602.5512550981,-1.86287028159171,0.0774888181195627,4.48825262413374e-128,4.9289174272305e-125,"55670","PEX26"
"ENSG00000170373.8",913.479910446707,8.36046656778647,0.357124489306526,7.47769445064502e-126,7.85483034467756e-123,"1469","CST1"
"ENSG00000123500.10",860.516305277214,7.87058411961906,0.33767401305016,8.9764278776815e-124,9.03627073019938e-121,"1300","COL10A1"
"ENSG00000060718.22",1350.14406938119,6.48468578670084,0.279114168181786,2.11144429544027e-122,2.04049976711348e-119,"1301","COL11A1"
"ENSG00000122641.11",1379.06080688928,5.43081433860863,0.233875201068101,1.15982646618307e-121,1.0777464393455e-118,"3624","INHBA"
"ENSG00000139433.11",1432.66648728344,-1.62860999188943,0.0696977031100682,3.25753598355213e-121,2.91489145787479e-118,"51228","GLTP"
"ENSG00000139515.6",612.297922491798,4.72307550680102,0.204554455217855,4.28349055326657e-120,3.69604042024715e-117,"3651","PDX1"
"ENSG00000040199.18",845.004405657032,-2.70243915984923,0.1162608079529,6.97488134939369e-120,5.81079770349488e-117,"23035","PHLPP2"
"ENSG00000281406.2",289.831759995857,5.04347035914028,0.220191932320849,2.36970582749853e-118,1.90840309307882e-115,"101669762","BLACAT1"
"ENSG00000273604.2",465.516748753018,3.61674407152143,0.158366806914699,2.89556787273372e-117,2.25667483242731e-114,"100170841","EPOP"
"ENSG00000163815.6",98.1031641772702,-4.074181611493,0.177119647875216,2.9983936573625e-117,2.26378721130869e-114,"7123","CLEC3B"
"ENSG00000101187.16",2209.39930807147,3.5315741566426,0.154628987006394,3.54147164791513e-117,2.59278651556453e-114,"28231","SLCO4A1"
"ENSG00000254166.3",1139.75318510648,4.84260850442543,0.213328000870654,3.16952251478239e-116,2.25222541050419e-113,"103164619","CASC19"
"ENSG00000173898.14",1562.60653522113,3.12504109631749,0.138443802653168,2.18003640661442e-114,1.5048479881087e-111,"6712","SPTBN2"
"ENSG00000163959.10",257.710575850836,-4.06913203737836,0.179442314839503,5.16419798011532e-114,3.46575064443295e-111,"200931","SLC51A"
"ENSG00000137673.9",2297.47842019533,7.11196541049411,0.317733826061773,9.82090953145937e-114,6.41278849405563e-111,"4316","MMP7"
"ENSG00000071539.14",907.95483767765,2.27905007171119,0.101208036554456,2.89253655494303e-113,1.83904429387957e-110,"9319","TRIP13"
"ENSG00000162461.8",78.4420305630482,-4.03800980326177,0.178866392628148,4.32279068298328e-113,2.67791340771477e-110,"284723","SLC25A34"
"ENSG00000197375.13",884.5329600893,-1.97689241296692,0.0877265326185789,7.76308170638233e-113,4.68890135065493e-110,"6584","SLC22A5"
"ENSG00000185269.12",2444.21131450478,9.41443811653702,0.42518963886781,4.28273887473845e-112,2.52368222472393e-109,"147111","NOTUM"
"ENSG00000167755.15",573.011583236851,9.76337247473634,0.442031791560697,2.41882274510646e-111,1.39139898861362e-108,"5653","KLK6"
"ENSG00000157193.18",648.964526973102,3.01662844462327,0.135774647337071,6.74778227734691e-111,3.79131208885352e-108,"7804","LRP8"
"ENSG00000236081.1",275.701089903965,4.94299767866618,0.224365845926792,7.86492372892333e-110,4.31855812024518e-107,"101927125","ELFN1-AS1"
"ENSG00000150593.18",3299.39620984881,-2.08996840226104,0.0940450596350236,1.11189499156153e-109,5.96964066580591e-107,"27250","PDCD4"
"ENSG00000115507.10",99.7076027243981,5.70393935293369,0.258528298513768,2.59744054598767e-109,1.36422094763179e-106,"5013","OTX1"
"ENSG00000171617.14",5598.31681588521,2.04655812539419,0.0940314632476645,1.29345032676065e-105,6.64888508394412e-103,"8507","ENC1"
"ENSG00000005001.10",810.578067441699,4.04169423044621,0.187397178263796,2.38159462617102e-105,1.19873596183941e-102,"64063","PRSS22"
"ENSG00000101115.13",196.260578740912,4.83017636238124,0.224252907394781,5.34868902086955e-105,2.63723115804507e-102,"57167","SALL4"
"ENSG00000165905.18",1345.46010853299,4.43168212194644,0.20673490883687,3.42996109318049e-104,1.65735720022481e-101,"120071","LARGE2"
"ENSG00000265688.2",188.269293694285,2.98454787156406,0.139266544015645,4.71059105446646e-104,2.23152705639038e-101,"92659","MAFG-DT"
"ENSG00000181418.8",95.2324641025684,4.64634455098245,0.216148962847528,8.01652161508337e-104,3.7245992734695e-101,"23109","DDN"
"ENSG00000245694.10",240.767766802618,4.81384051727159,0.226028782949386,6.77719758243141e-103,3.08937912436874e-100,"643911","CRNDE"
"ENSG00000203499.12",1187.04906571129,2.82089477203115,0.132708664489499,1.09342780819864e-101,4.89207700853315e-99,"642574","IQANK1"
"ENSG00000123643.13",1002.66996391948,-2.0671924361053,0.0973901328869186,2.40894325660377e-100,1.05818307417359e-97,"206358","SLC36A1"
"ENSG00000112559.15",484.565023667656,3.57629701411441,0.171061833619706,5.52739702100015e-99,2.38467700048864e-96,"4188","MDFI"
"ENSG00000108244.17",1552.7458759922,7.18487065675303,0.346595644437265,5.66287103062744e-98,2.40026252806945e-95,"25984","KRT23"
"ENSG00000171503.12",730.257948189356,-1.91377947576928,0.0914171907023739,1.11283686665759e-97,4.63554115490471e-95,"2110","ETFDH"
"ENSG00000120149.9",480.843275856716,4.77235643812889,0.230504727806718,1.4553143080866e-97,5.95938875989362e-95,"4488","MSX2"
