"","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezid","symbol"
"ENSG00000183034",337.367545495555,-10.070903488269,0.882827475382298,3.02747840057972e-31,5.30565589701596e-27,92736,"OTOP2"
"ENSG00000205358",533.294252294093,-5.2653714532324,0.419544186114254,3.59894949970771e-30,3.15357949911888e-26,4496,"MT1H"
"ENSG00000107954",365.848788151478,-4.69214423748042,0.386339090210185,5.15828828639127e-28,3.0133000739669e-24,9148,"NEURL1"
"ENSG00000142959",332.050566402614,-6.25653521119958,0.578862271438324,6.16786692204506e-25,2.70229669522099e-21,266675,"BEST4"
"ENSG00000168748",401.717079233012,-6.33854142540077,0.637674976051963,9.99996172875078e-23,3.50498658592715e-19,766,"CA7"
"ENSG00000100079",1140.38642932203,-5.2741873801975,0.531112841208935,1.46537091248848e-21,4.28010420689345e-18,3957,"LGALS2"
"ENSG00000103888",459.348278124459,5.40900264222883,0.525504695591263,3.04205639039485e-21,7.61600546309568e-18,57214,"CEMIP"
"ENSG00000205364",907.229982293497,-5.37944025016989,0.552717511208538,6.32614562148681e-21,1.38582127520695e-17,4499,"MT1M"
"ENSG00000164379",153.28762466642,6.4773099961281,0.649450698180138,1.07052962378378e-20,2.08455907297898e-17,94234,"FOXQ1"
"ENSG00000278535",794.578910224957,-2.91887971332614,0.262421307424609,3.74992696297795e-20,6.57174700261886e-17,79154,"DHRS11"
"ENSG00000146039",372.413398652655,-4.96815412808892,0.512814377494159,6.32678955340191e-20,1.00797260839426e-16,10050,"SLC17A4"
"ENSG00000269404",397.304076522454,-6.60368607563998,0.751003245368521,1.52322252408442e-19,2.22453956121496e-16,6689,"SPIB"
"ENSG00000044012",895.597217030593,-7.37995071945375,0.838053703964754,7.21341924697152e-19,9.72424402332122e-16,2981,"GUCA2B"
"ENSG00000141574",903.369089885022,-3.99908147786195,0.402456396121978,9.05355230350261e-19,1.13331074370631e-15,6398,"SECTM1"
"ENSG00000062038",135.289864858526,5.86661393546015,0.63646952044735,2.14818564659277e-18,2.50979689710255e-15,1001,"CDH3"
"ENSG00000131096",4434.28756603957,-7.45462448283764,0.899086062081093,3.58320219663631e-18,3.9247261560032e-15,5697,"PYY"
"ENSG00000146205",450.695276344822,-4.38477685856619,0.473850619818592,6.52327720644922e-18,6.72473135547192e-15,50636,"ANO7"
"ENSG00000174358",453.133614085357,-6.89952421674698,0.923009704846047,2.20378022816376e-17,2.05334051299298e-14,340024,"SLC6A19"
"ENSG00000153446",60.9255502590803,-5.94835515111896,0.670432348890589,2.22616089853733e-17,2.05334051299298e-14,146556,"C16orf89"
"ENSG00000125144",2762.04172421806,-4.48532737589357,0.503913121472057,3.00497614516728e-17,2.63311034720283e-14,4495,"MT1G"
"ENSG00000120708",2471.30705852862,3.16462310803678,0.323359832937589,4.43078645391509e-17,3.69759679070771e-14,7045,"TGFBI"
"ENSG00000198417",406.736691734994,-3.67069645150528,0.393440902629706,9.35831499771306e-17,7.45474865158734e-14,4494,"MT1F"
"ENSG00000160191",731.91389343281,-3.67358817903536,0.40326879160625,7.05228280869216e-16,5.37353287923175e-13,5152,"PDE9A"
"ENSG00000241186",83.4146985711871,3.71085738212068,0.401413460673607,7.67585817925455e-16,5.50446922216738e-13,6997,"TDGF1"
"ENSG00000167767",80.8645484153875,7.80588248452694,0.989492770343636,7.85230987470382e-16,5.50446922216738e-13,144501,"KRT80"
"ENSG00000122641",213.980850146013,6.21077442202772,0.796920560204331,9.08681848682336e-16,6.12486515313767e-13,3624,"INHBA"
"ENSG00000137673",247.650255763073,6.4377196056493,0.817739396410904,9.89456208477163e-16,6.42230372354159e-13,4316,"MMP7"
"ENSG00000197766",2381.04804292246,-5.05623301493282,0.620296984601357,1.09468391431872e-15,6.8515484280127e-13,1675,"CFD"
"ENSG00000164932",176.158542222965,5.8778504791318,0.757109822227354,2.45658512299469e-15,1.48453980277524e-12,115908,"CTHRC1"
"ENSG00000275395",27612.5135293045,-4.70130342000301,0.574464811705497,6.27415861679851e-15,3.66515432531313e-12,8857,"FCGBP"
"ENSG00000006704",206.750231849108,2.9531699206464,0.321269622328021,8.38023451983784e-15,4.73753580516639e-12,9569,"GTF2IRD1"
"ENSG00000197165",222.654552380987,-4.88724719939617,0.602847291632415,9.57634369852853e-15,5.24454447864727e-12,6799,"SULT1A2"
"ENSG00000164530",107.244008946575,-5.90077062168121,0.753659428695627,1.50385711125649e-14,7.98639268932424e-12,221476,"PI16"
"ENSG00000157005",175.591648318229,-6.99415701706335,0.966045002443804,1.81553902683593e-14,9.3580357192058e-12,6750,"SST"
