"ENTREZID","SYMBOL"
"6422","SFRP1"
"92736","OTOP2"
"766","CA7"
"266675","BEST4"
"7123","CLEC3B"
"730","C7"
"7148","TNXB"
"7166","TPH1"
"221476","PI16"
"10590","SCGN"
"7102","TSPAN7"
"6689","SPIB"
"1113","CHGA"
"5697","PYY"
"5570","PKIB"
"57126","CD177"
"4499","MT1M"
"7068","THRB"
"1805","DPT"
"145270","PRIMA1"
"10351","ABCA8"
"6750","SST"
"1836","SLC26A2"
"11240","PADI2"
"284723","SLC25A34"
"9429","ABCG2"
"1675","CFD"
"123264","SLC51B"
"130497","OSR1"
"2980","GUCA2A"
"4496","MT1H"
"343","AQP8"
"2675","GFRA2"
"84281","AKAP19"
"2168","FABP1"
"643236","TMEM72"
"644844","PHGR1"
"2641","GCG"
"10050","SLC17A4"
"57863","CADM3"
"443","ASPA"
"4495","MT1G"
"100048912","CDKN2B-AS1"
"111","ADCY5"
"51059","FAM135B"
"64388","GREM2"
"6799","SULT1A2"
"10350","ABCA9"
"388364","TMIGD1"
"651","BMP3"
"63928","CHP2"
"2949","GSTM5"
"10446","LRRN2"
"10231","RCAN2"
"762","CA4"
"79154","DHRS11"
"146556","C16orf89"
"23302","WSCD1"
"4118","MAL"
"2981","GUCA2B"
"284076","TTLL6"
"85477","SCIN"
"9099","USP2"
"125","ADH1B"
"5145","PDE6A"
"283316","CD163L1"
"3158","HMGCS2"
"11170","FAM107A"
"162514","TRPV3"
"25890","ABI3BP"
"140803","TRPM6"
"4969","OGN"
"163175","LGI4"
"4494","MT1F"
"957","ENTPD5"
"3248","HPGD"
"54857","GDPD2"
"27250","PDCD4"
"2651","GCNT2"
"79861","TUBAL3"
"5764","PTN"
"5333","PLCD1"
"23495","TNFRSF13B"
"57595","PDZD4"
"5152","PDE9A"
"1412","CRYBA2"
"653808","ZG16"
"11148","HHLA2"
"22989","MYH15"
"8736","MYOM1"
"25840","TMT1A"
"11126","CD160"
"653567","TMEM236"
"6338","SCNN1B"
"8857","FCGBP"
"126","ADH1C"
"5745","PTH1R"
"101928405","LINC02023"
"646962","HRCT1"
"5630","PRPH"
"23491","CES3"
"8708","B3GALT1"
"2788","GNG7"
"57556","SEMA6A"
"1908","EDN3"
"9745","ZNF536"
"53841","CDHR5"
"27284","SULT1B1"
"79908","BTNL8"
"80168","MOGAT2"
"3291","HSD11B2"
"92291","CAPN13"
"388595","TMEM82"
"54738","FEV"
"23584","VSIG2"
"646627","LYPD8"
"254439","C11orf86"
"63924","CIDEC"
"284948","SH2D6"
"79148","MMP28"
"54831","BEST2"
"3957","LGALS2"
"4493","MT1E"
"80726","IQCN"
"10317","B3GALT5"
"124872","B4GALNT2"
"6817","SULT1A1"
"4058","LTK"
"51196","PLCE1"
"5284","PIGR"
"140738","TMEM37"
"6352","CCL5"
"375704","ENHO"
"10917","BTNL3"
"9912","ARHGAP44"
"7732","RNF112"
"1152","CKB"
"23052","ENDOD1"
"79849","NHERF4"
"219348","PLAC9"
"114131","UCN3"
"10022","INSL5"
"100506542","LINC01082"
"23140","ZZEF1"
"3294","HSD17B2"
"1776","DNASE1L3"
"654346","LGALS9C"
"253012","HEPACAM2"
"51567","TDP2"
"23563","CHST5"
"197257","LDHD"
"9963","SLC23A1"
"388335","TMEM220"
"2169","FABP2"
"201501","ZBTB7C"
"1521","CTSW"
"7008","TEF"
"340024","SLC6A19"
"401022","HAGLR"
"101101775","TMEM220-AS1"
"10891","PPARGC1A"
"5023","P2RX1"
"35","ACADS"
"9290","GPR55"
"1101","CHAD"
"10110","SGK2"
"22802","CLCA4"
"9834","FAM30A"
"23228","PLCL2"
"134285","TMEM171"
