"ENTREZID","SYMBOL"
"3624","INHBA"
"57214","CEMIP"
"1001","CDH3"
"4316","MMP7"
"1469","CST1"
"57761","TRIB3"
"115908","CTHRC1"
"4237","MFAP2"
"4314","MMP3"
"3730","ANOS1"
"2118","ETV4"
"4320","MMP11"
"8507","ENC1"
"100127888","SLCO4A1-AS1"
"7804","LRP8"
"9075","CLDN2"
"221416","LINC03040"
"1277","COL1A1"
"57464","STRIP2"
"28231","SLCO4A1"
"1116","CHI3L1"
"81792","ADAMTS12"
"23650","TRIM29"
"4312","MMP1"
"27132","CPNE7"
"54498","SMOX"
"9076","CLDN1"
"9319","TRIP13"
"4188","MDFI"
"24147","FJX1"
"633","BGN"
"57167","SALL4"
"2191","FAP"
"80131","LRRC8E"
"8614","STC2"
"84733","CBX2"
"5328","PLAU"
"10630","PDPN"
"54443","ANLN"
"6581","SLC22A3"
"94234","FOXQ1"
"64063","PRSS22"
"84962","AJUBA"
"1303","COL12A1"
"2906","GRIN2D"
"1294","COL7A1"
"414236","C10orf55"
"6373","CXCL11"
"1295","COL8A1"
"7045","TGFBI"
"8840","CCN4"
"8038","ADAM12"
"51330","TNFRSF12A"
"54997","TESC"
"145741","C2CD4A"
"994","CDC25B"
"8862","APLN"
"7516","XRCC2"
"90381","TICRR"
"23657","SLC7A11"
"56938","BMAL2"
"10112","KIF20A"
"283212","KLHL35"
"55083","KIF26B"
"25984","KRT23"
"2069","EREG"
"6662","SOX9"
"9928","KIF14"
"1846","DUSP4"
"64220","STRA6"
"128239","IQGAP3"
"85409","NKD2"
"23594","ORC6"
"101929705","SCIRT"
"22974","TPX2"
"8140","SLC7A5"
"11065","UBE2C"
"55165","CEP55"
"23213","SULF1"
"11156","PTP4A3"
"2921","CXCL3"
"60681","FKBP10"
"1282","COL4A1"
"127534","GJB4"
"1894","ECT2"
"29128","UHRF1"
"150468","CKAP2L"
"7058","THBS2"
"2919","CXCL1"
"120071","LARGE2"
"6712","SPTBN2"
"3838","KPNA2"
"221150","SKA3"
"4017","LOXL2"
"7474","WNT5A"
"22822","PHLDA1"
"9837","GINS1"
"100170841","EPOP"
"144501","KRT80"
"57181","SLC39A10"
"55355","HJURP"
"1164","CKS2"
"25907","TMEM158"
"83540","NUF2"
"4321","MMP12"
"9569","GTF2IRD1"
"79801","SHCBP1"
"23250","ATP11A"
"92312","MEX3A"
"7291","TWIST1"
"6424","SFRP4"
"255738","PCSK9"
"25902","MTHFD1L"
"4854","NOTCH3"
"84141","EVA1A"
"26586","CKAP2"
"5366","PMAIP1"
"11072","DUSP14"
"8767","RIPK2"
"143458","LDLRAD3"
"220042","DDIAS"
"89958","SAPCD2"
"81624","DIAPH3"
"6533","SLC6A6"
"57460","PPM1H"
"6282","S100A11"
"3651","PDX1"
"5268","SERPINB5"
"366","AQP9"
"80727","TTYH3"
"990","CDC6"
"55388","MCM10"
"29923","HILPDA"
"100506115","PELATON"
"871","SERPINH1"
"29028","ATAD2"
"79989","IFT56"
"1503","CTPS1"
"29968","PSAT1"
"79075","DSCC1"
"705","BYSL"
"54517","PUS7"
"80164","PRR36"
"1434","CSE1L"
"10953","TOMM34"
"6790","AURKA"
"92659","MILIP"
"84706","GPT2"
"1594","CYP27B1"
"5831","PYCR1"
"9762","LZTS3"
"340706","VWA2"
"11178","LZTS1"
"51645","PPIL1"
"7038","TG"
"4487","MSX1"
"1909","EDNRA"
"6713","SQLE"
"9188","DDX21"
"6615","SNAI1"
"83959","SLC4A11"
"10799","RPP40"
"9456","HOMER1"
"57670","KIAA1549"
"2920","CXCL2"
"7153","TOP2A"
"125058","TBC1D16"
"9833","MELK"
"183","AGT"
"79628","SH3TC2"
"9388","LIPG"
"5471","PPAT"
"9603","NFE2L3"
"27143","PALD1"
"387103","CENPW"
"10309","CCNO"
"84319","CMSS1"
"29089","UBE2T"
"6781","STC1"
"57510","XPO5"
"56902","PNO1"
"5054","SERPINE1"
"144097","SPINDOC"
"701","BUB1B"
"79007","DBNDD1"
"339778","CIMIP2C"
"3326","HSP90AB1"
"3855","KRT7"
"4070","TACSTD2"
"23366","MATCAP2"
"26747","NUFIP1"
"24137","KIF4A"
"346389","MACC1"
"9620","CELSR1"
"6696","SPP1"
"4085","MAD2L1"
"10410","IFITM3"
"1800","DPEP1"
"2523","FUT1"
"6004","RGS16"
"6556","SLC11A1"
"138065","RNF183"
"11174","ADAMTS6"
"29841","GRHL1"
"83879","CDCA7"
"1717","DHCR7"
"375061","FAM89A"
"84955","NUDCD1"
"23212","RRS1"
"10808","HSPH1"
"8549","LGR5"
"5723","PSPH"
"55722","CEP72"
"81544","GDPD5"
"563","AZGP1"
"4609","MYC"
"8061","FOSL1"
"55248","PACC1"
"6319","SCD"
"430","ASCL2"
"440145","MZT1"
"1951","CELSR3"
"25879","DCAF13"
"30850","CDR2L"
"10529","NEBL"
"283120","H19"
"768","CA9"
"7130","TNFAIP6"
"8519","IFITM1"
"8884","SLC5A6"
"6641","SNTB1"
"79070","POGLUT2"
"4233","MET"
"5462","POU5F1B"
"10940","POP1"
"136853","SSC4D"
"5396","PRRX1"
"29070","CFAP263"
"27085","MTBP"
"5317","PKP1"
"51176","LEF1"
"3992","FADS1"
"6804","STX1A"
"5983","RFC3"
"6997","CRIPTO"
"2828","GPR4"
"84951","TNS4"
"2904","GRIN2B"
"4586","MUC5AC"
"127602","DNAH14"
"285973","ATG9B"
"26579","MYEOV"
