"ENTREZID","SYMBOL"
"3624","INHBA"
"57214","CEMIP"
"1001","CDH3"
"4316","MMP7"
"1469","CST1"
"57761","TRIB3"
"115908","CTHRC1"
"4237","MFAP2"
"4314","MMP3"
"3730","ANOS1"
"2118","ETV4"
"4320","MMP11"
"8507","ENC1"
"100127888","SLCO4A1-AS1"
"7804","LRP8"
"9075","CLDN2"
"221416","LINC03040"
"1277","COL1A1"
"57464","STRIP2"
"28231","SLCO4A1"
"1116","CHI3L1"
"81792","ADAMTS12"
"23650","TRIM29"
"4312","MMP1"
"27132","CPNE7"
"54498","SMOX"
"9076","CLDN1"
"9319","TRIP13"
"4188","MDFI"
"24147","FJX1"
"633","BGN"
"57167","SALL4"
"2191","FAP"
"80131","LRRC8E"
"8614","STC2"
"84733","CBX2"
"5328","PLAU"
"10630","PDPN"
"54443","ANLN"
"6581","SLC22A3"
"94234","FOXQ1"
"64063","PRSS22"
"5361","PLXNA1"
"84962","AJUBA"
"1303","COL12A1"
"2906","GRIN2D"
"1294","COL7A1"
"9509","ADAMTS2"
"414236","C10orf55"
"6373","CXCL11"
"1295","COL8A1"
"7045","TGFBI"
"8840","CCN4"
"8038","ADAM12"
"51330","TNFRSF12A"
"54997","TESC"
"145741","C2CD4A"
"994","CDC25B"
"8862","APLN"
"7516","XRCC2"
"90381","TICRR"
"23657","SLC7A11"
"57332","CBX8"
"56938","BMAL2"
"10112","KIF20A"
"283212","KLHL35"
"55083","KIF26B"
"25984","KRT23"
"7070","THY1"
"2069","EREG"
"51512","GTSE1"
"10807","ENTR1"
"6662","SOX9"
"9928","KIF14"
"1846","DUSP4"
"64220","STRA6"
"128239","IQGAP3"
"85409","NKD2"
"23594","ORC6"
"101929705","SCIRT"
"22974","TPX2"
"8140","SLC7A5"
"11065","UBE2C"
"55165","CEP55"
"23213","SULF1"
"11156","PTP4A3"
"2921","CXCL3"
"60681","FKBP10"
"1282","COL4A1"
"127534","GJB4"
"1894","ECT2"
"4982","TNFRSF11B"
"9816","URB2"
"699","BUB1"
"29128","UHRF1"
"3833","KIFC1"
"150468","CKAP2L"
"7058","THBS2"
"2919","CXCL1"
"1290","COL5A2"
"120071","LARGE2"
"6712","SPTBN2"
"3838","KPNA2"
"9493","KIF23"
"221150","SKA3"
"4017","LOXL2"
"7474","WNT5A"
"22822","PHLDA1"
"405753","DUOXA2"
"9837","GINS1"
"100170841","EPOP"
"144501","KRT80"
"55239","OGFOD1"
"57181","SLC39A10"
"55355","HJURP"
"1164","CKS2"
"25907","TMEM158"
"83540","NUF2"
"145864","HAPLN3"
"4321","MMP12"
"9569","GTF2IRD1"
"79801","SHCBP1"
"27253","PCDH17"
"23250","ATP11A"
"790","CAD"
"2214","FCGR3A"
"92312","MEX3A"
"7291","TWIST1"
"6424","SFRP4"
"56652","TWNK"
"4751","NEK2"
"3553","IL1B"
"255738","PCSK9"
"25902","MTHFD1L"
"865","CBFB"
"4854","NOTCH3"
"84141","EVA1A"
"6678","SPARC"
"26586","CKAP2"
"1462","VCAN"
"64794","DDX31"
"1063","CENPF"
"5754","PTK7"
"5366","PMAIP1"
"11072","DUSP14"
"55010","PARPBP"
"8767","RIPK2"
"143458","LDLRAD3"
"6472","SHMT2"
"84172","POLR1B"
"259266","ASPM"
"8914","TIMELESS"
"220042","DDIAS"
