"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0009636","response to toxic substance","19/266","270/18860",0.0703703703703704,4.98941798941799,7.89706048109166,1.0375119276436e-08,3.0554726269104e-05,2.79691373336343e-05,"CD36/SLC22A5/MT1M/ABCG2/MT1H/FABP1/GPX3/MT1G/AQP8/MT1F/TRPM6/SCN9A/CCL5/MT1E/EPHX2/MT1X/NHERF4/SLC23A1/HBA2",19
"BP","GO:0010273","detoxification of copper ion","6/266","16/18860",0.375,26.5883458646617,12.2469907839,5.29244190729052e-08,5.19541380565686e-05,4.75576972791966e-05,"MT1M/MT1H/MT1G/MT1F/MT1E/MT1X",6
"BP","GO:1990169","stress response to copper ion","6/266","16/18860",0.375,26.5883458646617,12.2469907839,5.29244190729052e-08,5.19541380565686e-05,4.75576972791966e-05,"MT1M/MT1H/MT1G/MT1F/MT1E/MT1X",6
"BP","GO:0097501","stress response to metal ion","6/266","21/18860",0.285714285714286,20.2577873254565,10.5608979439758,3.3797774706595e-07,0.000248836116277306,0.000227779213219973,"MT1M/MT1H/MT1G/MT1F/MT1E/MT1X",6
"BP","GO:0061687","detoxification of inorganic compound","6/266","23/18860",0.260869565217391,18.4962406015038,10.0419146702813,6.140095066853e-07,0.000339131541734894,0.000310433697929788,"MT1M/MT1H/MT1G/MT1F/MT1E/MT1X",6
"BP","GO:0098754","detoxification","13/266","166/18860",0.0783132530120482,5.55258628498958,7.04652254571295,6.90930135962432e-07,0.000339131541734894,0.000310433697929788,"CD36/SLC22A5/MT1M/ABCG2/MT1H/FABP1/GPX3/MT1G/AQP8/MT1F/MT1E/MT1X/HBA2",13
"BP","GO:0071294","cellular response to zinc ion","6/266","25/18860",0.24,17.0165413533835,9.58450452389843,1.05198618595477e-06,0.000398011163337471,0.000364330833458051,"MT1M/MT1H/MT1G/MT1F/MT1E/MT1X",6
"BP","GO:0006066","alcohol metabolic process","19/266","368/18860",0.0516304347826087,3.66071428571429,6.16515420253319,1.29472573617963e-06,0.000398011163337471,0.000364330833458051,"RDH5/SULT1A2/AQP8/PCK1/APOBR/HMGCS2/PTH1R/HSD11B2/MOGAT2/SULT1B1/SULT1A1/ADH1B/SCNN1B/P2RY1/ADH1C/EPHX2/NAAA/FMO5/ITPKA",19
"BP","GO:0071276","cellular response to cadmium ion","6/266","26/18860",0.230769230769231,16.3620589936379,9.37515711749578,1.35148103000839e-06,0.000398011163337471,0.000364330833458051,"MT1M/MT1H/MT1G/MT1F/MT1E/MT1X",6
"BP","GO:0071280","cellular response to copper ion","6/266","26/18860",0.230769230769231,16.3620589936379,9.37515711749578,1.35148103000839e-06,0.000398011163337471,0.000364330833458051,"MT1M/MT1H/MT1G/MT1F/MT1E/MT1X",6
"BP","GO:0006882","intracellular zinc ion homeostasis","6/266","35/18860",0.171428571428571,12.1546723952739,7.90018178986027,8.56582184862817e-06,0.00229330412220091,0.00209924112481691,"MT1M/MT1H/MT1G/MT1F/MT1E/MT1X",6
"BP","GO:0006814","sodium ion transport","14/266","255/18860",0.0549019607843137,3.89267285861713,5.56247803434077,1.67092479250911e-05,0.00401664813058464,0.00367675305600117,"SLC4A4/SLC22A5/OSR1/SLC17A4/TRPV3/SCN7A/SCN9A/GUCA2B/SLC13A2/SCNN1B/ADRB2/SLC23A1/SLC9A2/SLC6A19",14
"BP","GO:0034308","primary alcohol metabolic process","9/266","105/18860",0.0857142857142857,6.07733619763695,6.24001698589424,1.78121348406584e-05,0.00401664813058464,0.00367675305600117,"RDH5/SULT1A2/HSD11B2/SULT1B1/SULT1A1/ADH1B/SCNN1B/ADH1C/NAAA",9
"BP","GO:0046688","response to copper ion","6/266","40/18860",0.15,10.6353383458647,7.2962699018107,1.90944223525246e-05,0.00401664813058464,0.00367675305600117,"MT1M/MT1H/MT1G/MT1F/MT1E/MT1X",6
"BP","GO:0042445","hormone metabolic process","13/266","246/18860",0.0528455284552846,3.7468671679198,5.18679510707597,4.96572667198682e-05,0.00974937669933412,0.00892436912768999,"RDH5/DHRS11/NR5A2/SULT1B1/MEP1A/SULT1A1/ADH1B/SCNN1B/ADH1C/HSD17B2/CTSG/ANPEP/GCNT4",13
"BP","GO:0046686","response to cadmium ion","6/266","48/18860",0.125,8.86278195488722,6.52368677985637,5.55493015365903e-05,0.0102245433140787,0.00935932639705315,"MT1M/MT1H/MT1G/MT1F/MT1E/MT1X",6
"BP","GO:0035725","sodium ion transmembrane transport","11/266","187/18860",0.0588235294117647,4.17072091994693,5.21177319573393,7.28164966186334e-05,0.0126143872083456,0.011546937946769,"SLC4A4/OSR1/SLC17A4/TRPV3/SCN7A/SCN9A/SLC13A2/SCNN1B/SLC23A1/SLC9A2/SLC6A19",11
"BP","GO:0035590","purinergic nucleotide receptor signaling pathway","5/266","32/18860",0.15625,11.078477443609,6.82466845078787,7.92489485797523e-05,0.0129660085315206,0.0118688045212132,"ADCY5/P2RY1/ADORA3/P2RX1/CTSG",5
"BP","GO:0010043","response to zinc ion","6/266","53/18860",0.113207547169811,8.02667044970918,6.1269098944836,9.79787786464745e-05,0.0151867106902035,0.0139015873747159,"MT1M/MT1H/MT1G/MT1F/MT1E/MT1X",6
"BP","GO:0003044","regulation of systemic arterial blood pressure mediated by a chemical signal","6/266","54/18860",0.111111111111111,7.87802840434419,6.05377623705723,0.00010893654747619,0.015288269337534,0.0139945519697702,"HSD11B2/EDN3/ADRB2/EDN2/CTSG/ANPEP",6
"BP","GO:0045055","regulated exocytosis","12/266","230/18860",0.0521739130434783,3.69924812030075,4.92622261279793,0.000109016521591923,0.015288269337534,0.0139945519697702,"TPH1/CHGA/CD177/SCIN/CD160/PTGDR/SYP/SYNGR1/P2RY1/P2RX1/GPR15LG/PRKCB",12
