"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0009636","response to toxic substance","26/494","270/18860",0.0962962962962963,3.67641325536062,7.26458607737285,1.2278571785548e-08,4.77513656739961e-05,4.41899336155669e-05,"CD36/SLC22A5/MT1M/ABCG2/MT1H/FABP1/GPX3/MT1G/BCL2/AQP8/MT1F/TRPM6/SCN9A/CCL5/MT1E/EPHX2/MT1X/NHERF4/SLC23A1/HBA2/SLC30A4/PDZK1/MB/LTC4S/MT2A/PRDX6",26
"BP","GO:0010273","detoxification of copper ion","7/494","16/18860",0.4375,16.7029352226721,10.3055173174821,7.55824709906279e-08,9.79800765608506e-05,9.06724450234936e-05,"MT1M/MT1H/MT1G/MT1F/MT1E/MT1X/MT2A",7
"BP","GO:1990169","stress response to copper ion","7/494","16/18860",0.4375,16.7029352226721,10.3055173174821,7.55824709906279e-08,9.79800765608506e-05,9.06724450234936e-05,"MT1M/MT1H/MT1G/MT1F/MT1E/MT1X/MT2A",7
"BP","GO:0016042","lipid catabolic process","28/494","352/18860",0.0795454545454545,3.0368973132131,6.32668535703151,2.03170339197666e-07,0.000197532362284931,0.000182799839399163,"ETFDH/PLCD1/HPGD/ACACB/PCK1/CYP4F12/PLCE1/PNPLA7/NAAA/SMPD3/CIDEC/ACADS/ACOX1/PHYH/MGLL/CPT2/FUCA1/PLAAT2/PAFAH2/ACAT1/PLAAT4/SMPD1/PLA2G10/PNLIPRP2/GDPD3/PRDX6/ASPG/NEU4",28
"BP","GO:0098754","detoxification","18/494","166/18860",0.108433734939759,4.13979805863129,6.66377241176026,3.81314578278848e-07,0.000296586478985288,0.000274466219607449,"CD36/SLC22A5/MT1M/ABCG2/MT1H/FABP1/GPX3/MT1G/AQP8/MT1F/MT1E/MT1X/HBA2/PDZK1/MB/LTC4S/MT2A/PRDX6",18
"BP","GO:0097501","stress response to metal ion","7/494","21/18860",0.333333333333333,12.7260458839406,8.81754791405029,6.85547221605154e-07,0.000444348857470407,0.000411208061520705,"MT1M/MT1H/MT1G/MT1F/MT1E/MT1X/MT2A",7
"BP","GO:0006814","sodium ion transport","22/494","255/18860",0.0862745098039216,3.29380011113757,6.04820269289087,1.081546666932e-06,0.000600876426814077,0.000556061361539925,"SLC4A4/SLC22A5/OSR1/SLC17A4/TRPV3/CAMK2D/SCN7A/SCN9A/GUCA2B/SLC13A2/SCNN1B/GPD1L/ADRB2/SLC23A1/NEDD4L/SLC9A2/SCN4B/SLC6A19/PER1/CHP1/SLC22A4/FXYD3",22
"BP","GO:0061687","detoxification of inorganic compound","7/494","23/18860",0.304347826086957,11.6194331983806,8.35747144049605,1.38106906133729e-06,0.000671372197442588,0.000621299357988445,"MT1M/MT1H/MT1G/MT1F/MT1E/MT1X/MT2A",7
"BP","GO:0071294","cellular response to zinc ion","7/494","25/18860",0.28,10.6898785425101,7.95098694229438,2.58760379364715e-06,0.0011181323503882,0.0010347388737403,"MT1M/MT1H/MT1G/MT1F/MT1E/MT1X/MT2A",7
"BP","GO:0071276","cellular response to cadmium ion","7/494","26/18860",0.269230769230769,10.2787293677982,7.76460582745584,3.4613779812661e-06,0.00122375445174035,0.00113248337970802,"MT1M/MT1H/MT1G/MT1F/MT1E/MT1X/MT2A",7
