"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0030198","extracellular matrix organization","16/144","331/18860",0.0483383685800604,6.33098355152736,8.58280818719715,5.10428296698134e-09,4.90298311039653e-06,4.12492539861835e-06,"MMP7/MMP3/MMP11/MMP1/COL1A1/ADAMTS12/FAP/PDPN/COL12A1/TGFBI/SULF1/COL4A1/FKBP10/LOXL2/SERPINH1/ADAMTS6",16
"BP","GO:0043062","extracellular structure organization","16/144","332/18860",0.0481927710843374,6.31191432396252,8.56524698234962,5.32817406439004e-09,4.90298311039653e-06,4.12492539861835e-06,"MMP7/MMP3/MMP11/MMP1/COL1A1/ADAMTS12/FAP/PDPN/COL12A1/TGFBI/SULF1/COL4A1/FKBP10/LOXL2/SERPINH1/ADAMTS6",16
"BP","GO:0045229","external encapsulating structure organization","16/144","333/18860",0.048048048048048,6.29295962629296,8.54775774799456,5.56103944468415e-09,4.90298311039653e-06,4.12492539861835e-06,"MMP7/MMP3/MMP11/MMP1/COL1A1/ADAMTS12/FAP/PDPN/COL12A1/TGFBI/SULF1/COL4A1/FKBP10/LOXL2/SERPINH1/ADAMTS6",16
"BP","GO:0070482","response to oxygen levels","14/144","357/18860",0.0392156862745098,5.13616557734205,6.92062006588103,6.2787904386402e-07,0.000415185017755083,0.000349299025981194,"INHBA/COL1A1/STC2/PLAU/AJUBA/SLC7A5/LOXL2/TWIST1/STC1/HILPDA/PMAIP1/CA9/ASCL2/MYC",14
"BP","GO:0046697","decidualization","5/144","25/18860",0.2,26.1944444444444,11.0567129918788,1.13694155145175e-06,0.000509372872608396,0.00042854014633137,"STC2/SPP1/STC1/CYP27B1/DCAF13",5
"BP","GO:0030199","collagen fibril organization","7/144","71/18860",0.0985915492957746,12.9127543035994,8.82111702966474,1.15547721574683e-06,0.000509372872608396,0.00042854014633137,"MMP11/COL1A1/ADAMTS12/COL12A1/FKBP10/LOXL2/SERPINH1",7
"BP","GO:0043588","skin development","13/144","329/18860",0.0395136778115502,5.17519419115164,6.70130305510542,1.48134642508878e-06,0.00055973732776569,0.000470912231975592,"INHBA/CDH3/ETV4/COL1A1/CLDN1/FOXQ1/EREG/KRT80/SNAI1/KRT7/CYP27B1/PKP1/MET",13
"BP","GO:0032963","collagen metabolic process","8/144","116/18860",0.0689655172413793,9.03256704980843,7.61178081839187,3.01363918777166e-06,0.000996384456457004,0.000838267531967011,"INHBA/MMP7/MMP3/MMP11/MMP1/COL1A1/FAP/SERPINH1",8
"BP","GO:0001890","placenta development","9/144","160/18860",0.05625,7.3671875,7.09448516969199,3.88959025843386e-06,0.00114310735928417,0.000961706877933238,"MDFI/STC2/SPP1/STC1/SNAI1/FOSL1/CYP27B1/ASCL2/DCAF13",9
"BP","GO:0001666","response to hypoxia","12/144","317/18860",0.0378548895899054,4.95793901156677,6.23365536059767,5.91164575527103e-06,0.00153095212014197,0.00128800429090842,"INHBA/STC2/PLAU/AJUBA/LOXL2/TWIST1/STC1/HILPDA/PMAIP1/CA9/ASCL2/MYC",12
"BP","GO:0051216","cartilage development","10/144","216/18860",0.0462962962962963,6.06352880658436,6.56515027609231,6.36690862818966e-06,0.00153095212014197,0.00128800429090842,"CHI3L1/COL1A1/ADAMTS12/CCN4/TGFBI/SULF1/LOXL2/STC1/SNAI1/SERPINH1",10
"BP","GO:0001893","maternal placenta development","5/144","36/18860",0.138888888888889,18.1905864197531,9.05565864443547,7.54033697144054e-06,0.00166201594078835,0.00139826950505485,"STC2/SPP1/STC1/CYP27B1/DCAF13",5
"BP","GO:0036293","response to decreased oxygen levels","12/144","330/18860",0.0363636363636364,4.76262626262626,6.04845426086521,8.87464726647082e-06,0.00180564938613964,0.00151910966164529,"INHBA/STC2/PLAU/AJUBA/LOXL2/TWIST1/STC1/HILPDA/PMAIP1/CA9/ASCL2/MYC",12
"BP","GO:0008544","epidermis development","13/144","402/18860",0.0323383084577114,4.23542012161415,5.75155723456868,1.30367729261442e-05,0.0024630188849751,0.00207216074931344,"INHBA/CDH3/ETV4/CLDN1/FOXQ1/EREG/KRT80/SFRP4/SNAI1/KRT7/CYP27B1/PKP1/MET",13
"BP","GO:0022617","extracellular matrix disassembly","6/144","72/18860",0.0833333333333333,10.9143518518519,7.39306216638678,1.8423119601348e-05,0.00324861008970436,0.0027330859534912,"MMP7/MMP3/MMP11/MMP1/FAP/PDPN",6
