"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0030198","extracellular matrix organization","20/232","331/18860",0.0604229607250755,4.91196999687468,8.01315843397878,5.40479998891893e-09,6.76780235323423e-06,5.48323399150734e-06,"MMP7/MMP3/MMP11/COL1A1/ADAMTS12/MMP1/FAP/PDPN/COL12A1/TGFBI/SOX9/SULF1/FKBP10/COL4A1/LOXL2/MMP12/SERPINB5/SERPINH1/AGT/ADAMTS6",20
"BP","GO:0043062","extracellular structure organization","20/232","332/18860",0.0602409638554217,4.89717490652264,7.99511797288987,5.68921327156149e-09,6.76780235323423e-06,5.48323399150734e-06,"MMP7/MMP3/MMP11/COL1A1/ADAMTS12/MMP1/FAP/PDPN/COL12A1/TGFBI/SOX9/SULF1/FKBP10/COL4A1/LOXL2/MMP12/SERPINB5/SERPINH1/AGT/ADAMTS6",20
"BP","GO:0045229","external encapsulating structure organization","20/232","333/18860",0.0600600600600601,4.88246867557212,7.97714955998098,5.98743941601376e-09,6.76780235323423e-06,5.48323399150734e-06,"MMP7/MMP3/MMP11/COL1A1/ADAMTS12/MMP1/FAP/PDPN/COL12A1/TGFBI/SOX9/SULF1/FKBP10/COL4A1/LOXL2/MMP12/SERPINB5/SERPINH1/AGT/ADAMTS6",20
"BP","GO:0000280","nuclear division","22/232","453/18860",0.0485651214128035,3.94800943898911,7.08772196171734,4.75923491606428e-08,4.03464140009349e-05,3.26884292919152e-05,"TRIP13/ANLN/CDC25B/EREG/KIF14/TPX2/UBE2C/UHRF1/SKA3/WNT5A/CKS2/NUF2/AURKA/MSX1/TOP2A/BUB1B/KIF4A/MAD2L1/RRS1/MZT1/DCAF13/MTBP",22
"BP","GO:0051216","cartilage development","15/232","216/18860",0.0694444444444444,5.64535440613027,7.66295701769709,7.71541599515841e-08,5.23259512791643e-05,4.23941805207652e-05,"COL1A1/CHI3L1/ADAMTS12/BGN/TGFBI/CCN4/SOX9/SULF1/LOXL2/WNT5A/SERPINH1/MSX1/SNAI1/STC1/PRRX1",15
"BP","GO:0140014","mitotic nuclear division","16/232","281/18860",0.0569395017793594,4.62878880844275,6.83949275948998,4.28741123212154e-07,0.000222306341619492,0.000180111301316759,"TRIP13/ANLN/EREG/KIF14/TPX2/UBE2C/UHRF1/SKA3/NUF2/AURKA/BUB1B/KIF4A/MAD2L1/RRS1/MZT1/MTBP",16
"BP","GO:0007059","chromosome segregation","20/232","434/18860",0.0460829493087558,3.74622596535833,6.45930524713872,4.58904273469903e-07,0.000222306341619492,0.000180111301316759,"TRIP13/KIF14/TPX2/UBE2C/ECT2/UHRF1/SKA3/HJURP/NUF2/DIAPH3/CDC6/AURKA/TOP2A/CENPW/BUB1B/KIF4A/MAD2L1/RRS1/MZT1/DCAF13",20
"BP","GO:0098813","nuclear chromosome segregation","17/232","323/18860",0.0526315789473684,4.27858439201452,6.63266574287362,5.59999836664313e-07,0.000237369930766086,0.000192315733380771,"TRIP13/KIF14/TPX2/UBE2C/ECT2/UHRF1/SKA3/NUF2/CDC6/AURKA/TOP2A/BUB1B/KIF4A/MAD2L1/RRS1/MZT1/DCAF13",17
"BP","GO:0043588","skin development","17/232","329/18860",0.0516717325227964,4.20055549732732,6.53572982914907,7.23125143982813e-07,0.00027245748480508,0.00022074346500528,"INHBA/CDH3/ETV4/COL1A1/CLDN1/FOXQ1/EREG/SOX9/WNT5A/KRT80/CYP27B1/SNAI1/KRT7/GRHL1/LGR5/MET/PKP1",17
"BP","GO:0007143","female meiotic nuclear division","7/232","43/18860",0.162790697674419,13.2337610264635,8.9627077644464,8.60675400842985e-07,0.000291855028425856,0.000236459241705283,"TRIP13/CDC25B/EREG/SKA3/AURKA/TOP2A/DCAF13",7
"BP","GO:0051338","regulation of transferase activity","16/232","304/18860",0.0526315789473684,4.27858439201452,6.43133578470098,1.21600081256525e-06,0.000334930652631744,0.000271358861186376,"CEMIP/TRIB3/CHI3L1/EREG/KIF14/TPX2/UBE2C/ECT2/WNT5A/CDC6/DSCC1/AGT/SPINDOC/MAD2L1/RFC3/CRIPTO",16
"BP","GO:0000819","sister chromatid segregation","14/232","233/18860",0.0600858369098712,4.88456415569039,6.65838663289967,1.2168807477014e-06,0.000334930652631744,0.000271358861186376,"TRIP13/KIF14/TPX2/UBE2C/UHRF1/SKA3/NUF2/CDC6/TOP2A/BUB1B/KIF4A/MAD2L1/RRS1/MZT1",14
"BP","GO:0060562","epithelial tube morphogenesis","17/232","344/18860",0.0494186046511628,4.01739174017642,6.30314852022638,1.3356309706555e-06,0.000334930652631744,0.000271358861186376,"CTHRC1/ADAMTS12/SALL4/KIF26B/SOX9/COL4A1/WNT5A/TWIST1/MTHFD1L/EDNRA/AGT/TACSTD2/CELSR1/LGR5/MYC/MET/LEF1",17
"BP","GO:0061448","connective tissue development","16/232","307/18860",0.0521172638436482,4.23677412108278,6.38108774646746,1.38278653401487e-06,0.000334930652631744,0.000271358861186376,"COL1A1/CHI3L1/ADAMTS12/BGN/TGFBI/CCN4/SOX9/SULF1/LOXL2/WNT5A/SERPINH1/MSX1/SNAI1/STC1/PRRX1/GPR4",16
"BP","GO:0007292","female gamete generation","12/232","176/18860",0.0681818181818182,5.54271159874608,6.7570444908154,1.92445258356045e-06,0.000435054580723565,0.000352478683725808,"INHBA/TRIP13/CDC25B/EREG/SKA3/AURKA/EDNRA/TOP2A/LGR5/FOSL1/DCAF13/TNFAIP6",12
"BP","GO:0051783","regulation of nuclear division","11/232","147/18860",0.0748299319727891,6.08315740089139,6.90463498685665,2.09965493462463e-06,0.000444995617707007,0.00036053285390594,"TRIP13/EREG/UBE2C/SKA3/WNT5A/NUF2/AURKA/MSX1/BUB1B/MAD2L1/MTBP",11
"BP","GO:0008544","epidermis development","18/232","402/18860",0.0447761194029851,3.63998970663922,5.97094605238067,2.63785282467678e-06,0.000526174054616409,0.000426303149994204,"INHBA/CDH3/ETV4/CLDN1/FOXQ1/COL7A1/EREG/SOX9/WNT5A/KRT80/SFRP4/CYP27B1/SNAI1/KRT7/GRHL1/LGR5/MET/PKP1",18
"BP","GO:0044772","mitotic cell cycle phase transition","19/232","461/18860",0.0412147505422994,3.35047497943002,5.70202600424804,4.62089300614445e-06,0.000811752937294889,0.000657677495022322,"INHBA/TRIP13/ANLN/CDC25B/TICRR/KIF14/IQGAP3/UBE2C/SKA3/CKS2/NUF2/CDC6/AURKA/MELK/CCNO/BUB1B/MAD2L1/MYC/MTBP",19
"BP","GO:0000070","mitotic sister chromatid segregation","12/232","192/18860",0.0625,5.08081896551724,6.34262821583114,4.75321118430706e-06,0.000811752937294889,0.000657677495022322,"TRIP13/KIF14/TPX2/UBE2C/UHRF1/SKA3/NUF2/BUB1B/KIF4A/MAD2L1/RRS1/MZT1",12
"BP","GO:0001890","placenta development","11/232","160/18860",0.06875,5.58890086206897,6.50531111598758,4.78769057679085e-06,0.000811752937294889,0.000657677495022322,"MDFI/STC2/CYP27B1/SNAI1/STC1/HSP90AB1/SPP1/FOSL1/ASCL2/DCAF13/LEF1",11
"BP","GO:0051347","positive regulation of transferase activity","11/232","161/18860",0.0683229813664596,5.55418719211823,6.47641742896715,5.08386321312208e-06,0.000820922864556998,0.000665106916603941,"CEMIP/CHI3L1/EREG/KIF14/TPX2/UBE2C/ECT2/WNT5A/DSCC1/RFC3/CRIPTO",11
"BP","GO:0001837","epithelial to mesenchymal transition","12/232","195/18860",0.0615384615384615,5.0026525198939,6.27005580525941,5.57354668866841e-06,0.000859086219148845,0.000696026643895912,"COL1A1/PDPN/SOX9/LOXL2/WNT5A/SLC39A10/TWIST1/MSX1/EDNRA/SNAI1/AGT/LEF1",12
"BP","GO:0098773","skin epidermis development","10/232","137/18860",0.072992700729927,5.933803171407,6.46806823420805,7.66616564780504e-06,0.00108939014241662,0.000882617539215996,"INHBA/CDH3/CLDN1/FOXQ1/SOX9/WNT5A/SNAI1/GRHL1/LGR5/MET",10
"BP","GO:0072132","mesenchyme morphogenesis","7/232","59/18860",0.11864406779661,9.64494447691408,7.42194868784316,7.71022218165698e-06,0.00108939014241662,0.000882617539215996,"SOX9/WNT5A/TWIST1/MSX1/SNAI1/MYC/LEF1",7
"BP","GO:0043085","positive regulation of catalytic activity","15/232","318/18860",0.0471698113207547,3.83458035133377,5.68910896575148,9.92355843913153e-06,0.0013460314666838,0.00109054684320561,"CEMIP/CDH3/CHI3L1/PRSS22/EREG/KIF14/TPX2/UBE2C/ECT2/WNT5A/DSCC1/EDNRA/RGS16/RFC3/CRIPTO",15
"BP","GO:0046697","decidualization","5/232","25/18860",0.2,16.2586206896552,8.51966811863559,1.17242270404126e-05,0.00150631226585569,0.00122040541181249,"STC2/CYP27B1/STC1/SPP1/DCAF13",5
"BP","GO:0010718","positive regulation of epithelial to mesenchymal transition","7/232","63/18860",0.111111111111111,9.03256704980843,7.12689846373737,1.19936393919503e-05,0.00150631226585569,0.00122040541181249,"COL1A1/PDPN/LOXL2/TWIST1/SNAI1/AGT/LEF1",7
"BP","GO:0050673","epithelial cell proliferation","19/232","496/18860",0.0383064516129032,3.11405033370412,5.32467037131984,1.303099765558e-05,0.0015641446175058,0.00126726084579619,"CDH3/CLDN1/FAP/COL8A1/APLN/EREG/SOX9/IQGAP3/SULF1/UHRF1/LOXL2/WNT5A/MMP12/PDX1/SERPINB5/TACSTD2/FUT1/LGR5/MYC",19
"BP","GO:0032963","collagen metabolic process","9/232","116/18860",0.0775862068965517,6.30722354340071,6.39860713051853,1.34486113201492e-05,0.0015641446175058,0.00126726084579619,"INHBA/MMP7/MMP3/MMP11/COL1A1/MMP1/FAP/MMP12/SERPINH1",9
"BP","GO:0048732","gland development","18/232","454/18860",0.039647577092511,3.22307458605499,5.35084609370701,1.40020066995663e-05,0.0015641446175058,0.00126726084579619,"CLDN1/APLN/SOX9/STRA6/IQGAP3/SLC7A5/SULF1/WNT5A/PCSK9/PDX1/SERPINB5/AURKA/TG/MSX1/EDNRA/MET/LEF1/CRIPTO",18
"BP","GO:0001763","morphogenesis of a branching structure","12/232","214/18860",0.0560747663551402,4.55849178214631,5.84252019221468,1.42991693136773e-05,0.0015641446175058,0.00126726084579619,"SOX9/SULF1/COL4A1/WNT5A/EDNRA/AGT/TACSTD2/CELSR1/MYC/MET/LEF1/CRIPTO",12
"BP","GO:0007088","regulation of mitotic nuclear division","9/232","119/18860",0.0756302521008403,6.1482179078528,6.28715589811297,1.65277032373823e-05,0.00175142005243635,0.00141899031084104,"TRIP13/EREG/UBE2C/SKA3/NUF2/AURKA/BUB1B/MAD2L1/MTBP",9
"BP","GO:0072001","renal system development","15/232","334/18860",0.0449101796407186,3.65088787941359,5.45499015401565,1.77090596530849e-05,0.00176655166078484,0.00143124985166569,"KIF26B/SOX9/STRA6/SULF1/COL4A1/WNT5A/PCSK9/NOTCH3/EDNRA/AGT/TACSTD2/ADAMTS6/LGR5/MYC/GPR4",15
"BP","GO:0030574","collagen catabolic process","6/232","45/18860",0.133333333333333,10.8390804597701,7.37443693044349,1.77124023788512e-05,0.00176655166078484,0.00143124985166569,"MMP7/MMP3/MMP11/MMP1/FAP/MMP12",6
"BP","GO:0060348","bone development","12/232","220/18860",0.0545454545454545,4.43416927899687,5.71781754979424,1.88423380757073e-05,0.00182555338327781,0.0014790527030856,"COL1A1/ADAMTS12/BGN/CCN4/SOX9/SULF1/TWIST1/SFRP4/SERPINH1/MSX1/STC1/ATG9B",12
