"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0007059","chromosome segregation","47/557","434/18860",0.108294930875576,3.66686247093961,9.80518380425037,1.35987991598007e-14,6.04058658678348e-11,5.0172411636949e-11,"TRIP13/KIF14/TPX2/UBE2C/ECT2/BUB1/UHRF1/KIFC1/KIF23/SKA3/HJURP/NUF2/NEK2/CENPF/ASPM/DIAPH3/RACGAP1/CDC6/AURKA/CCNB1/SPDL1/DLGAP5/CCDC86/TOP2A/NCAPG2/CENPW/BUB1B/KNSTRN/KIF4A/RAN/MAD2L1/CENPN/TTK/NCAPH/RRS1/SGO1/MZT1/DCAF13/SGO2/ZWILCH/FAM83D/CENPQ/ACTL6A/SRPK1/FBXO5/CCNE1/HAUS6",47
"BP","GO:0000280","nuclear division","47/557","453/18860",0.103752759381898,3.51306470725782,9.44467578062507,6.78599998913852e-14,1.19859827788185e-10,9.95541828947574e-11,"TRIP13/ANLN/CDC25B/EREG/KIF14/TPX2/UBE2C/BUB1/UHRF1/KIFC1/KIF23/SKA3/WNT5A/CKS2/NUF2/NEK2/IL1B/CENPF/ASPM/RACGAP1/LIF/RAD51AP1/AURKA/CCNB1/SPDL1/DLGAP5/MSX1/CCDC86/TOP2A/NCAPG2/FIGNL1/BUB1B/KNSTRN/KIF4A/RAN/MAD2L1/TTK/NCAPH/RRS1/SGO1/MZT1/DCAF13/ZWILCH/MTBP/FBXO5/CCNE1/BORA",47
"BP","GO:0098813","nuclear chromosome segregation","39/557","323/18860",0.120743034055728,4.08835479764995,9.76640008792983,8.09499062054376e-14,1.19859827788185e-10,9.95541828947574e-11,"TRIP13/KIF14/TPX2/UBE2C/ECT2/BUB1/UHRF1/KIFC1/KIF23/SKA3/NUF2/NEK2/CENPF/ASPM/RACGAP1/CDC6/AURKA/CCNB1/SPDL1/DLGAP5/TOP2A/NCAPG2/BUB1B/KNSTRN/KIF4A/RAN/MAD2L1/TTK/NCAPH/RRS1/SGO1/MZT1/DCAF13/ZWILCH/FAM83D/CENPQ/ACTL6A/FBXO5/CCNE1",39
"BP","GO:0016072","rRNA metabolic process","35/557","270/18860",0.12962962962963,4.38925460469446,9.78525550140045,1.92975852693974e-13,2.14299684416658e-10,1.77994832550626e-10,"POLR1B/NAT10/LYAR/DKC1/BYSL/DDX21/RPP40/UTP14A/GTPBP4/UTP20/NOP14/BRIX1/URB1/RRS1/MYC/NIFK/NOB1/DCAF13/NOP58/NOL6/NOLC1/XRN2/WDR12/WDR3/UTP4/PAK1IP1/WDR43/DDX10/POLR1A/DDX27/RPL7L1/NCL/RIOK1/RPF2/PRKDC",35
"BP","GO:0140014","mitotic nuclear division","35/557","281/18860",0.124555160142349,4.21743325006229,9.47932309792554,6.33933703958756e-13,5.63186702596958e-10,4.67776343657987e-10,"TRIP13/ANLN/EREG/KIF14/TPX2/UBE2C/BUB1/UHRF1/KIFC1/KIF23/SKA3/NUF2/NEK2/IL1B/CENPF/RACGAP1/AURKA/CCNB1/SPDL1/DLGAP5/CCDC86/NCAPG2/BUB1B/KNSTRN/KIF4A/RAN/MAD2L1/TTK/NCAPH/RRS1/MZT1/ZWILCH/MTBP/FBXO5/BORA",35
"BP","GO:0000819","sister chromatid segregation","31/557","233/18860",0.133047210300429,4.50497376349389,9.39111292051536,2.37086022395817e-12,1.75522685247036e-09,1.45787106753919e-09,"TRIP13/KIF14/TPX2/UBE2C/BUB1/UHRF1/KIFC1/KIF23/SKA3/NUF2/NEK2/CENPF/RACGAP1/CDC6/CCNB1/SPDL1/DLGAP5/TOP2A/NCAPG2/BUB1B/KNSTRN/KIF4A/RAN/MAD2L1/TTK/NCAPH/RRS1/MZT1/ZWILCH/ACTL6A/FBXO5",31
"BP","GO:0000070","mitotic sister chromatid segregation","28/557","192/18860",0.145833333333333,4.93791143028127,9.5673893945448,2.92624763625519e-12,1.85691314289222e-09,1.54233052106383e-09,"TRIP13/KIF14/TPX2/UBE2C/BUB1/UHRF1/KIFC1/KIF23/SKA3/NUF2/NEK2/CENPF/RACGAP1/CCNB1/SPDL1/DLGAP5/NCAPG2/BUB1B/KNSTRN/KIF4A/RAN/MAD2L1/TTK/NCAPH/RRS1/MZT1/ZWILCH/FBXO5",28
"BP","GO:0006364","rRNA processing","30/557","223/18860",0.134529147982063,4.55515212018259,9.31640597501488,4.04294607514735e-12,2.24484580822557e-09,1.8645428938673e-09,"NAT10/LYAR/DKC1/BYSL/DDX21/RPP40/UTP14A/GTPBP4/UTP20/NOP14/BRIX1/URB1/RRS1/NOB1/DCAF13/NOP58/NOL6/NOLC1/XRN2/WDR12/WDR3/UTP4/PAK1IP1/WDR43/DDX10/DDX27/RPL7L1/RIOK1/RPF2/PRKDC",30
"BP","GO:0042254","ribosome biogenesis","36/557","318/18860",0.113207547169811,3.83320348226686,8.88871182637315,5.12378121440172e-12,2.52887068381916e-09,2.10045066157638e-09,"URB2/DDX31/NAT10/LYAR/DKC1/BYSL/DDX21/RPP40/PNO1/UTP14A/GTPBP4/RAN/UTP20/NOP14/BRIX1/URB1/RRS1/NOB1/DCAF13/NOP58/NOL6/NOLC1/XRN2/WDR12/WDR3/UTP4/PAK1IP1/WDR43/DDX10/DDX27/RPL7L1/RIOK1/MTERF3/NPM1/RPF2/PRKDC",36
"BP","GO:0022613","ribonucleoprotein complex biogenesis","46/557","496/18860",0.092741935483871,3.14023860543233,8.42646027536255,6.83263126475030e-12,3.03505480780209e-09,2.52088132452103e-09,"URB2/DDX31/NAT10/RUVBL1/LYAR/DKC1/BYSL/DDX21/RPP40/PNO1/UTP14A/HSP90AB1/GTPBP4/NUFIP1/RAN/UTP20/NOP14/BRIX1/URB1/RRS1/SF3B3/NOB1/DCAF13/NOP58/GEMIN5/NOL6/NOLC1/XRN2/WDR12/WDR3/UTP4/EIF2S2/WDR77/PAK1IP1/WDR43/DDX10/DDX27/RPL7L1/RIOK1/MTERF3/TGS1/SRPK1/NPM1/RPF2/PRKDC/AGO2",46
