,tissue
GSM5013470,normal colon epithelium tissue
GSM5013471,normal colon epithelium tissue
GSM5013472,normal colon epithelium tissue
GSM5013473,normal colon epithelium tissue
GSM5013474,normal colon epithelium tissue
GSM5013475,adenoma tissue
GSM5013476,adenoma tissue
GSM5013477,adenoma tissue
GSM5013478,adenoma tissue
GSM5013479,adenoma tissue
GSM5013480,primary CRC tissue
GSM5013481,primary CRC tissue
GSM5013482,primary CRC tissue
GSM5013483,primary CRC tissue
GSM5013484,primary CRC tissue
