"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000205358",533.294252294093,-5.33093312835057,0.418047646993225,-12.7519749643202,3.03946162758355e-37,5.32665650234017e-33
"ENSG00000107954",365.848788151478,-4.75320746145824,0.382051052212565,-12.4412887595285,1.55966934852688e-35,1.36666026664668e-31
"ENSG00000183034",337.367545495555,-9.96584456969172,0.810999274933475,-12.2883520093273,1.04617043517924e-34,6.11137895883875e-31
"ENSG00000278535",794.578910224957,-2.95909698115407,0.260312467511966,-11.3674808180982,6.07146654209493e-30,2.66006127875534e-26
"ENSG00000142959",332.050566402614,-6.36507590134963,0.56413062257095,-11.2829824276187,1.59253643416366e-29,5.58184020174363e-26
"ENSG00000168748",401.717079233012,-6.46584048642799,0.603671428556768,-10.7108605452576,9.05164662813026e-27,2.64383511929971e-23
"ENSG00000100079",1140.38642932203,-5.37582195903107,0.506152578330079,-10.6209514466314,2.38121566106354e-26,5.96154349430552e-23
"ENSG00000103888",459.348278124459,5.5023913858927,0.523765624115085,10.5054458188033,8.15366156357718e-26,1.78616148627112e-22
"ENSG00000205364",907.229982293497,-5.48971133480938,0.526759968679672,-10.4216562784173,1.97483710351069e-25,3.84544669322498e-22
"ENSG00000146039",372.413398652655,-5.07170508341321,0.495039749008294,-10.2450461676528,1.2456539847204e-24,2.12692541032114e-21
"ENSG00000141574",903.369089885022,-4.07486006737444,0.397999915961708,-10.2383440396668,1.3350173759505e-24,2.12692541032114e-21
"ENSG00000120708",2471.30705852862,3.2218026726033,0.316956766244904,10.1648016881706,2.84700794866738e-24,4.15781785836632e-21
"ENSG00000164379",153.28762466642,6.60492794416413,0.650447061518551,10.1544435126574,3.16611231630037e-24,4.26816294947415e-21
"ENSG00000146205",450.695276344822,-4.48538469928184,0.456544209372551,-9.82464481467481,8.81843400839245e-23,1.1038789714077e-19
"ENSG00000269404",397.304076522454,-6.77761309505108,0.690598773546622,-9.81411110860237,9.78969511908989e-23,1.14376271308034e-19
"ENSG00000198417",406.736691734994,-3.74872091067837,0.384411824275951,-9.75183559386909,1.81162472386203e-22,1.98429520535513e-19
"ENSG00000062038",135.289864858526,5.99928344956898,0.62443756554264,9.60749926112399,7.43323223469011e-22,7.66278793605555e-19
"ENSG00000125144",2762.04172421806,-4.59418920847376,0.47927970439857,-9.58561183857939,9.19112529088248e-22,8.94858170681753e-19
"ENSG00000044012",895.597217030593,-7.58049484191277,0.795480797836051,-9.52945044372411,1.5811802902966e-21,1.45843076776042e-18
"ENSG00000006704",206.750231849108,3.0111720618173,0.316182960531647,9.52351150344774,1.67423972238953e-21,1.46705255674383e-18
"ENSG00000160191",731.91389343281,-3.75535394810976,0.397061494315673,-9.45786484429076,3.14295179867185e-21,2.62286810817734e-18
"ENSG00000241186",83.4146985711871,3.79071602806001,0.402016920481917,9.429244976843,4.13051417278176e-21,3.29033003990911e-18
"ENSG00000131096",4434.28756603957,-7.67900628775272,0.823714742536921,-9.3224096780185,1.13727535376018e-20,8.66554372810746e-18
"ENSG00000153446",60.9255502590803,-6.09580404551008,0.65602246208692,-9.29206604621171,1.51321983056116e-20,1.10496573044102e-17
"ENSG00000174358",453.133614085357,-7.13833065106621,0.780017748195273,-9.15149772884291,5.61495938131175e-20,3.93608652629954e-17
"ENSG00000150593",2000.05824168931,-2.23347189329319,0.248684930236936,-8.98113082753039,2.67997953223549e-19,1.80640928086258e-16
"ENSG00000197766",2381.04804292246,-5.20513043220032,0.582605468153843,-8.93422859331257,4.10028831650393e-19,2.66139084247153e-16
"ENSG00000169715",2115.98306909414,-3.34160571336358,0.374959393634504,-8.91191358342351,5.01592240344863e-19,3.13943000430133e-16
"ENSG00000171916",205.908593059233,-3.56723595384214,0.40266826624314,-8.85899449470934,8.07393572513591e-19,4.87916288217265e-16
"ENSG00000275395",27612.5135293045,-4.83648751840623,0.55140079739884,-8.77127407363522,1.76655867965236e-18,1.03196469536359e-15
"ENSG00000122641",213.980850146013,6.40994896112012,0.732402028736865,8.75195413122355,2.09689635140974e-18,1.18542285672438e-15
"ENSG00000137673",247.650255763073,6.63749668124527,0.762023899982677,8.7103523674207,3.02931627315884e-18,1.65902399022215e-15
"ENSG00000164932",176.158542222965,5.96284695966973,0.686903576897366,8.6807627157846,3.93123543259537e-18,2.08772427140103e-15
"ENSG00000197165",222.654552380987,-5.02819724183027,0.580340339836577,-8.66422148638885,4.5460880646122e-18,2.34324098036261e-15
"ENSG00000167767",80.8645484153875,7.92117390230175,0.920326119277766,8.60692067342168,7.50493438808129e-18,3.7578278614607e-15
"ENSG00000163739",643.643345486238,3.39661391117304,0.397441118041851,8.54620661271229,1.27200216229974e-17,6.19217719286192e-15
"ENSG00000163032",116.300000476979,4.30917765464593,0.507388607808667,8.49285456616104,2.01622540636319e-17,9.54982439094999e-15
"ENSG00000175832",261.83550843332,3.71928429729499,0.438264221604417,8.4863972780604,2.13141898292893e-17,9.82976780942883e-15
"ENSG00000187193",324.591678269327,-3.74535094196811,0.444373077743527,-8.42839300928522,3.50444375649087e-17,1.57475325211545e-14
"ENSG00000099953",685.298658213121,4.97408909414525,0.590596960345339,8.42213798600783,3.6967530210445e-17,1.61963991734512e-14
"ENSG00000164530",107.244008946575,-6.08657252127294,0.724082849286535,-8.40590621262506,4.24570337726089e-17,1.81477930942676e-14
"ENSG00000079689",73.3984883771237,-5.67076832700725,0.68082587707027,-8.32924910464583,8.13567184014041e-17,3.39470592853478e-14
"ENSG00000162706",94.591801615447,-4.64213159632351,0.55848032335464,-8.31207726073406,9.40411627644612e-17,3.8327241335981e-14
"ENSG00000186340",413.672827533242,5.01936221771293,0.606637788983114,8.27406783564657,1.2946444368601e-16,5.15650994453938e-14
"ENSG00000197273",5935.67885936745,-6.35439710767236,0.771037926341222,-8.24135479019255,1.70271495802597e-16,6.63112880875671e-14
"ENSG00000157005",175.591648318229,-7.25778558116353,0.881062003455243,-8.23754236671292,1.75784083681537e-16,6.69699144895421e-14
"ENSG00000172367",381.770736106067,-2.68020654705039,0.331221689287568,-8.0918811591575,5.87502175395008e-16,2.19063311144628e-13
"ENSG00000164283",43.3206212326293,7.70549324577008,0.955980775043366,8.0603014693685,7.61065218574549e-16,2.77868082406645e-13
"ENSG00000122971",2265.96774859322,-3.90446225221533,0.488791170174343,-7.98799669564956,1.37149126440328e-15,4.90518049156478e-13
"ENSG00000169429",445.689949942357,6.2598749063231,0.785761699194354,7.9666327752312,1.63056281393153e-15,5.71512266283002e-13
"ENSG00000182240",948.277218904605,1.59030939798685,0.201617238815276,7.88776499138502,3.07646402355882e-15,1.0571574904484e-12
"ENSG00000171388",30.0102081255033,6.3164836154331,0.807607502943883,7.8212294863635,5.23098816671639e-15,1.76294360810971e-12
"ENSG00000139540",1340.5889282209,-2.23279573393905,0.286347936008759,-7.79749197797868,6.31496505377164e-15,2.08810872768581e-12
"ENSG00000188833",985.745815143459,-3.78110902829385,0.487047485393068,-7.76332727648176,8.27297645444969e-15,2.68488726600427e-12
"ENSG00000108244",63.2945870475449,8.1000246828698,1.04629301952848,7.74164075616233,9.81419641710042e-15,3.12715985835790e-12
"ENSG00000170373",220.252297780871,7.85337983467723,1.01934079663511,7.70437115889173,1.31489165164425e-14,4.11490646340456e-12
"ENSG00000196502",1255.65093499814,-3.01932702880893,0.392577313374115,-7.69103798397946,1.45946093512962e-14,4.48720226107836e-12
"ENSG00000163347",252.834056709984,6.35041956969697,0.826340943769836,7.6849871927268,1.5301229995271e-14,4.6233457873642e-12
"ENSG00000100604",1995.93547049522,-6.44983840224208,0.840010410764056,-7.67828388742878,1.61233875856731e-14,4.78919266845628e-12
"ENSG00000149968",525.854116592191,7.63130541287226,0.997572389546181,7.64987633262777,2.01172688534507e-14,5.87591894427873e-12
"ENSG00000120694",809.050580715129,2.56232213189555,0.33570278468056,7.63271038795149,2.29868888797142e-14,6.60402012486871e-12
"ENSG00000166391",675.199572772212,-2.91328109544917,0.38274644340191,-7.61151709093749,2.70897070192945e-14,7.65721154053445e-12
"ENSG00000171747",16768.5122083143,-2.45921254148792,0.325303577798441,-7.55974637024021,4.03856062326755e-14,1.12342499877403e-11
"ENSG00000118777",92.3722643955653,-4.45670841931882,0.597325729193436,-7.46110237932774,8.58015467918119e-14,2.27829107200985e-11
"ENSG00000145649",100.255919167035,-2.52553792423418,0.338418861555382,-7.46275757984276,8.47301548816377e-14,2.27829107200985e-11
"ENSG00000167964",132.311187682237,-3.75665699305224,0.503306859572526,-7.46394952026461,8.3966781127422e-14,2.27829107200985e-11
"ENSG00000167723",35.4901344174303,-3.67335137332817,0.493436495849556,-7.4444257857411,9.73669902431861e-14,2.54680075225647e-11
"ENSG00000050344",348.728826322198,2.88900714737156,0.389614729826721,7.41503574224832,1.21592010376498e-13,3.1336764438943e-11
"ENSG00000166866",1366.24303839277,-2.87124022220202,0.390986872999963,-7.34357192140896,2.0796756032418e-13,5.28207462997284e-11
