"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000205358",533.294252294093,-5.2653714532324,0.419544186114254,3.03946162758355e-37,5.32665650234017e-33
"ENSG00000107954",365.848788151478,-4.69214423748042,0.386339090210185,1.55966934852688e-35,1.36666026664668e-31
"ENSG00000183034",337.367545495555,-10.070903488269,0.882827475382298,1.04617043517924e-34,6.11137895883875e-31
"ENSG00000278535",794.578910224957,-2.91887971332614,0.262421307424609,6.07146654209493e-30,2.66006127875534e-26
"ENSG00000142959",332.050566402614,-6.25653521119958,0.578862271438324,1.59253643416366e-29,5.58184020174363e-26
"ENSG00000168748",401.717079233012,-6.33854142540077,0.637674976051963,9.05164662813026e-27,2.64383511929971e-23
"ENSG00000100079",1140.38642932203,-5.2741873801975,0.531112841208935,2.38121566106354e-26,5.96154349430552e-23
"ENSG00000103888",459.348278124459,5.40900264222883,0.525504695591263,8.15366156357718e-26,1.78616148627112e-22
"ENSG00000205364",907.229982293497,-5.37944025016989,0.552717511208538,1.97483710351069e-25,3.84544669322498e-22
"ENSG00000146039",372.413398652655,-4.96815412808892,0.512814377494159,1.2456539847204e-24,2.12692541032114e-21
"ENSG00000141574",903.369089885022,-3.99908147786195,0.402456396121978,1.3350173759505e-24,2.12692541032114e-21
"ENSG00000120708",2471.30705852862,3.16462310803678,0.323359832937589,2.84700794866738e-24,4.15781785836632e-21
"ENSG00000164379",153.28762466642,6.4773099961281,0.649450698180138,3.16611231630037e-24,4.26816294947415e-21
"ENSG00000146205",450.695276344822,-4.38477685856619,0.473850619818592,8.81843400839245e-23,1.1038789714077e-19
"ENSG00000269404",397.304076522454,-6.60368607563998,0.751003245368521,9.78969511908989e-23,1.14376271308034e-19
"ENSG00000198417",406.736691734994,-3.67069645150528,0.393440902629706,1.81162472386203e-22,1.98429520535513e-19
"ENSG00000062038",135.289864858526,5.86661393546015,0.63646952044735,7.43323223469011e-22,7.66278793605555e-19
"ENSG00000125144",2762.04172421806,-4.48532737589357,0.503913121472057,9.19112529088248e-22,8.94858170681753e-19
"ENSG00000044012",895.597217030593,-7.37995071945375,0.838053703964754,1.5811802902966e-21,1.45843076776042e-18
"ENSG00000006704",206.750231849108,2.9531699206464,0.321269622328021,1.67423972238953e-21,1.46705255674383e-18
